A = 12D_CPEB4_D4, rgA = 46.221 ; B = CPEB4_D4, rgB = 45.727
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 -1.121 0.512 0.502 69.335 70.456
0.500 70.000 -1.114 0.525 0.510 68.870 69.984
0.500 60.000 -1.060 0.511 0.495 68.086 69.146
0.500 50.000 -0.850 0.428 0.417 66.651 67.501
0.500 40.000 -0.101 0.221 0.211 63.767 63.868
0.525 80.000 -1.010 0.665 0.656 67.911 68.922
0.525 70.000 -0.988 0.677 0.665 67.390 68.378
0.525 60.000 -0.910 0.648 0.636 66.518 67.428
0.525 50.000 -0.669 0.521 0.511 64.937 65.606
0.525 40.000 0.054 0.238 0.227 61.819 61.765
0.550 80.000 -0.903 0.819 0.814 66.323 67.226
0.550 70.000 -0.863 0.826 0.819 65.738 66.601
0.550 60.000 -0.760 0.773 0.765 64.767 65.527
0.550 50.000 -0.492 0.588 0.579 63.029 63.521
0.550 40.000 0.192 0.229 0.221 59.697 59.505
0.575 80.000 -0.792 0.945 0.943 64.547 65.339
0.575 70.000 -0.733 0.938 0.935 63.890 64.623
0.575 60.000 -0.605 0.849 0.846 62.811 63.416
0.575 50.000 -0.315 0.601 0.593 60.912 61.228
0.575 40.000 0.346 0.192 0.191 57.406 57.060
0.600 80.000 -0.672 0.999 0.999 62.555 63.227
0.600 70.000 -0.595 0.970 0.970 61.818 62.413
0.600 60.000 -0.444 0.841 0.839 60.623 61.067
0.600 50.000 -0.132 0.542 0.533 58.569 58.701
0.600 40.000 0.555 0.138 0.141 54.938 54.383
0.625 80.000 -0.541 0.943 0.941 60.320 60.861
0.625 70.000 -0.446 0.887 0.885 59.495 59.940
0.625 60.000 -0.273 0.724 0.719 58.178 58.452
0.625 50.000 0.070 0.414 0.404 55.978 55.908
0.625 40.000 0.847 0.081 0.086 52.284 51.437
0.650 80.000 -0.399 0.764 0.759 57.812 58.211
0.650 70.000 -0.288 0.687 0.681 56.891 57.179
0.650 60.000 -0.093 0.515 0.508 55.451 55.544
0.650 50.000 0.299 0.252 0.245 53.125 52.825
0.650 40.000 1.227 0.038 0.042 49.483 48.256
0.675 80.000 -0.258 0.505 0.500 55.011 55.269
0.675 70.000 -0.137 0.424 0.421 53.988 54.125
0.675 60.000 0.082 0.282 0.282 52.429 52.347
0.675 50.000 0.562 0.112 0.113 50.039 49.477
0.675 40.000 1.717 0.014 0.017 46.699 44.982
0.700 80.000 -0.160 0.254 0.258 51.920 52.080 
0.700 70.000 -0.037 0.192 0.201 50.799 50.836 
0.700 60.000 0.228 0.108 0.118 49.168 48.941 
0.700 50.000 0.902 0.035 0.040 46.897 45.995 
0.700 40.000 2.408 0.004 0.006 44.245 41.838 
