A = 12D_CPEB4_D4, rgA = 55.915 ; B = CPEB4_D4, rgB = 55.215 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 0.859 0.180 0.175 68.210 67.351 
0.600 70.000 0.808 0.188 0.179 67.807 67.000 
0.600 60.000 0.756 0.191 0.178 67.164 66.408 
0.600 50.000 0.740 0.182 0.164 66.054 65.314 
0.600 40.000 0.893 0.137 0.120 63.934 63.041 
0.625 80.000 0.726 0.276 0.270 66.660 65.935 
0.625 70.000 0.692 0.287 0.276 66.222 65.530 
0.625 60.000 0.666 0.290 0.275 65.521 64.854 
0.625 50.000 0.689 0.269 0.251 64.314 63.625 
0.625 40.000 0.902 0.190 0.175 62.029 61.127 
0.650 80.000 0.623 0.411 0.402 64.917 64.294 
0.650 70.000 0.604 0.424 0.412 64.436 63.832 
0.650 60.000 0.600 0.424 0.407 63.670 63.070 
0.650 50.000 0.657 0.382 0.364 62.358 61.701 
0.650 40.000 0.926 0.250 0.236 59.918 58.992 
0.675 80.000 0.569 0.582 0.573 62.973 62.404 
0.675 70.000 0.561 0.598 0.585 62.442 61.882 
0.675 60.000 0.575 0.587 0.571 61.604 61.028 
0.675 50.000 0.661 0.510 0.493 60.185 59.524 
0.675 40.000 0.974 0.305 0.290 57.615 56.641 
0.700 80.000 0.569 0.773 0.766 60.811 60.242 
0.700 70.000 0.570 0.784 0.775 60.226 59.657 
0.700 60.000 0.598 0.753 0.740 59.311 58.713 
0.700 50.000 0.706 0.622 0.607 57.792 57.087 
0.700 40.000 1.041 0.335 0.316 55.133 54.092
0.725 80.000 0.618 0.936 0.933 58.408 57.790 
0.725 70.000 0.624 0.934 0.930 57.766 57.142 
0.725 60.000 0.662 0.868 0.860 56.778 56.116 
0.725 50.000 0.783 0.673 0.658 55.177 54.394 
0.725 40.000 1.119 0.322 0.296 52.487 51.368 
0.750 80.000 0.698 0.999 0.999 55.735 55.037 
0.750 70.000 0.708 0.973 0.972 55.041 54.334 
0.750 60.000 0.753 0.864 0.859 53.994 53.241 
0.750 50.000 0.885 0.619 0.600 52.347 51.461 
0.750 40.000 1.236 0.260 0.227 49.710 48.474 
