A = 12D_CPEB4_D4, rgA = 26.375 ; B = CPEB4_D4, rgB = 26.041 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 0.820 0.057 0.068 30.135 29.314 
0.900 70.000 0.773 0.063 0.073 29.943 29.169 
0.900 60.000 0.717 0.064 0.069 29.659 28.942 
0.900 50.000 0.634 0.057 0.052 29.219 28.585 
0.900 40.000 0.436 0.037 0.026 28.487 28.050 
0.925 80.000 0.620 0.201 0.209 28.953 28.333 
0.925 70.000 0.588 0.217 0.222 28.770 28.182 
0.925 60.000 0.537 0.213 0.205 28.514 27.977 
0.925 50.000 0.458 0.166 0.145 28.147 27.689 
0.925 40.000 0.349 0.076 0.063 27.610 27.261 
0.950 80.000 0.503 0.488 0.494 27.957 27.454 
0.950 70.000 0.482 0.505 0.504 27.803 27.320 
0.950 60.000 0.447 0.458 0.443 27.596 27.149 
0.950 50.000 0.396 0.314 0.292 27.313 26.917 
0.950 40.000 0.362 0.116 0.108 26.928 26.566 
0.975 80.000 0.413 0.828 0.831 27.121 26.708 
0.975 70.000 0.401 0.818 0.815 26.998 26.597 
0.975 60.000 0.380 0.694 0.682 26.835 26.455 
0.975 50.000 0.352 0.432 0.418 26.617 26.265 
0.975 40.000 0.357 0.140 0.135 26.328 25.971 
1.000 80.000 0.339 0.998 0.998 26.415 26.076 
1.000 70.000 0.333 0.949 0.946 26.316 25.983 
1.000 60.000 0.321 0.764 0.757 26.185 25.864 
1.000 50.000 0.305 0.442 0.435 26.010 25.705 
1.000 40.000 0.307 0.127 0.124 25.766 25.459 
1.025 80.000 0.282 0.873 0.874 25.814 25.532 
1.025 70.000 0.279 0.803 0.805 25.731 25.453 
1.025 60.000 0.270 0.617 0.619 25.622 25.352 
1.025 50.000 0.252 0.330 0.337 25.470 25.218 
1.025 40.000 0.209 0.079 0.089 25.231 25.022 
1.050 80.000 0.238 0.567 0.571 25.299 25.061 
1.050 70.000 0.236 0.506 0.512 25.228 24.992 
1.050 60.000 0.227 0.370 0.380 25.131 24.904 
1.050 50.000 0.197 0.180 0.199 24.990 24.793 
1.050 40.000 0.090 0.033 0.053 24.738 24.648 
1.075 80.000 0.201 0.281 0.286 24.855 24.654 
1.075 70.000 0.201 0.243 0.249 24.792 24.591 
1.075 60.000 0.193 0.169 0.178 24.706 24.513 
1.075 50.000 0.153 0.075 0.091 24.573 24.420 
1.075 40.000 -0.000 0.011 0.027 24.323 24.323 
1.100 80.000 0.158 0.109 0.116 24.466 24.308 
1.100 70.000 0.163 0.092 0.097 24.410 24.247 
1.100 60.000 0.161 0.062 0.066 24.335 24.174 
1.100 50.000 0.129 0.026 0.033 24.225 24.097 
1.100 40.000 -0.029 0.004 0.011 24.009 24.039 
