A = CPEB4_D4, rgA = 26.041 ; B = CPEB4_alpha, rgB = 26.460 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -1.379 0.068 0.047 29.314 30.693 
0.900 70.000 -1.233 0.073 0.055 29.169 30.402 
0.900 60.000 -1.073 0.069 0.057 28.942 30.015 
0.900 50.000 -0.929 0.052 0.047 28.585 29.513 
0.900 40.000 -0.707 0.026 0.022 28.050 28.758 
0.925 80.000 -0.962 0.209 0.178 28.333 29.295 
0.925 70.000 -0.905 0.222 0.193 28.182 29.087 
0.925 60.000 -0.840 0.205 0.182 27.977 28.817 
0.925 50.000 -0.760 0.145 0.128 27.689 28.449 
0.925 40.000 -0.593 0.063 0.044 27.261 27.854 
0.950 80.000 -0.699 0.494 0.467 27.454 28.152 
0.950 70.000 -0.680 0.504 0.476 27.320 28.000 
0.950 60.000 -0.653 0.443 0.412 27.149 27.802 
0.950 50.000 -0.609 0.292 0.256 26.917 27.526 
0.950 40.000 -0.526 0.108 0.071 26.566 27.092 
0.975 80.000 -0.534 0.831 0.820 26.708 27.243 
0.975 70.000 -0.525 0.815 0.800 26.597 27.122 
0.975 60.000 -0.510 0.682 0.653 26.455 26.965 
0.975 50.000 -0.487 0.418 0.370 26.265 26.752 
0.975 40.000 -0.475 0.135 0.092 25.971 26.446 
1.000 80.000 -0.425 0.998 0.998 26.076 26.501 
1.000 70.000 -0.418 0.946 0.940 25.983 26.401 
1.000 60.000 -0.410 0.757 0.731 25.864 26.274 
1.000 50.000 -0.403 0.435 0.388 25.705 26.108 
1.000 40.000 -0.426 0.124 0.091 25.459 25.885 
1.025 80.000 -0.351 0.874 0.868 25.532 25.883 
1.025 70.000 -0.347 0.805 0.793 25.453 25.800 
1.025 60.000 -0.345 0.619 0.593 25.352 25.697 
1.025 50.000 -0.348 0.337 0.300 25.218 25.567 
1.025 40.000 -0.370 0.089 0.067 25.022 25.392 
1.050 80.000 -0.299 0.571 0.555 25.061 25.360 
1.050 70.000 -0.299 0.512 0.495 24.992 25.291 
1.050 60.000 -0.304 0.380 0.360 24.904 25.208 
1.050 50.000 -0.312 0.199 0.176 24.793 25.105 
1.050 40.000 -0.317 0.053 0.038 24.648 24.965 
1.075 80.000 -0.259 0.286 0.271 24.654 24.913 
1.075 70.000 -0.265 0.249 0.238 24.591 24.856 
1.075 60.000 -0.277 0.178 0.170 24.513 24.790 
1.075 50.000 -0.292 0.091 0.082 24.420 24.712 
1.075 40.000 -0.287 0.027 0.018 24.323 24.610 
1.100 80.000 -0.225 0.116 0.106 24.308 24.533 
1.100 70.000 -0.239 0.097 0.093 24.247 24.485 
1.100 60.000 -0.261 0.066 0.067 24.174 24.435 
1.100 50.000 -0.287 0.033 0.033 24.097 24.383 
1.100 40.000 -0.291 0.011 0.008 24.039 24.330 
