A = CPEB4_D4, rgA = 31.089 ; B = CPEB4_alpha, rgB = 31.956 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -6.281 0.120 0.072 38.347 44.629 
0.900 70.000 -4.830 0.150 0.107 37.458 42.288 
0.900 60.000 -3.290 0.163 0.136 36.407 39.697 
0.900 50.000 -1.936 0.127 0.115 35.150 37.086 
0.900 40.000 -1.071 0.046 0.038 33.729 34.800 
0.925 80.000 -3.261 0.293 0.245 36.210 39.471 
0.925 70.000 -2.514 0.337 0.304 35.488 38.002 
0.925 60.000 -1.845 0.333 0.311 34.618 36.462 
0.925 50.000 -1.321 0.232 0.208 33.566 34.888 
0.925 40.000 -0.898 0.073 0.054 32.388 33.285 
0.950 80.000 -1.794 0.576 0.550 34.251 36.044 
0.950 70.000 -1.497 0.614 0.597 33.671 35.168 
0.950 60.000 -1.252 0.551 0.527 32.965 34.218 
0.950 50.000 -1.060 0.341 0.300 32.113 33.173 
0.950 40.000 -0.854 0.095 0.064 31.142 31.995 
0.975 80.000 -1.162 0.871 0.865 32.540 33.702 
0.975 70.000 -1.059 0.867 0.858 32.078 33.138 
0.975 60.000 -0.981 0.711 0.682 31.516 32.498 
0.975 50.000 -0.921 0.394 0.343 30.836 31.757 
0.975 40.000 -0.876 0.096 0.064 30.034 30.910 
1.000 80.000 -0.867 1.000 0.999 31.089 31.956 
1.000 70.000 -0.841 0.935 0.929 30.724 31.565 
1.000 60.000 -0.827 0.710 0.684 30.280 31.107 
1.000 50.000 -0.829 0.357 0.314 29.740 30.569 
1.000 40.000 -0.906 0.076 0.055 29.083 29.989 
1.025 80.000 -0.713 0.873 0.871 29.869 30.582 
