A = CPEB4_D4, rgA = 66.803 ; B = CPEB4_alpha, rgB = 67.326 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 -0.130 0.619 0.625 72.025 72.155 
0.500 70.000 -0.136 0.619 0.624 71.816 71.952 
0.500 60.000 -0.165 0.599 0.593 71.431 71.597 
0.500 50.000 -0.261 0.532 0.495 70.668 70.929 
0.500 40.000 -0.550 0.360 0.279 68.948 69.498 
0.525 80.000 -0.242 0.753 0.757 70.846 71.088 
0.525 70.000 -0.258 0.751 0.754 70.609 70.867 
0.525 60.000 -0.302 0.723 0.711 70.179 70.481 
0.525 50.000 -0.418 0.630 0.584 69.338 69.755 
0.525 40.000 -0.724 0.404 0.313 67.467 68.192 
0.550 80.000 -0.347 0.876 0.878 69.580 69.927 
0.550 70.000 -0.374 0.872 0.871 69.308 69.683 
0.550 60.000 -0.433 0.832 0.815 68.826 69.260 
0.550 50.000 -0.570 0.709 0.654 67.896 68.465 
0.550 40.000 -0.894 0.425 0.329 65.862 66.755 
0.575 80.000 -0.442 0.967 0.967 68.214 68.656 
0.575 70.000 -0.482 0.958 0.955 67.903 68.384 
0.575 60.000 -0.557 0.903 0.882 67.361 67.918 
0.575 50.000 -0.715 0.747 0.688 66.331 67.045 
0.575 40.000 -1.055 0.413 0.322 64.128 65.184 
0.600 80.000 -0.528 1.000 1.000 66.730 67.258 
0.600 70.000 -0.581 0.983 0.979 66.375 66.956 
0.600 60.000 -0.675 0.911 0.890 65.765 66.440 
0.600 50.000 -0.857 0.725 0.670 64.627 65.485 
0.600 40.000 -1.215 0.363 0.289 62.264 63.479 
0.625 80.000 -0.609 0.953 0.954 65.106 65.715 
0.625 70.000 -0.677 0.927 0.925 64.701 65.378 
0.625 60.000 -0.794 0.839 0.823 64.016 64.810 
0.625 50.000 -1.010 0.634 0.594 62.765 63.775 
0.625 40.000 -1.390 0.283 0.235 60.266 61.656 
0.650 80.000 -0.691 0.821 0.823 63.315 64.006 
0.650 70.000 -0.779 0.786 0.788 62.855 63.633 
0.650 60.000 -0.928 0.689 0.684 62.089 63.017 
0.650 50.000 -1.197 0.488 0.472 60.723 61.920 
0.650 40.000 -1.605 0.190 0.171 58.147 59.753 
0.675 80.000 -0.778 0.623 0.627 61.335 62.113 
0.675 70.000 -0.894 0.583 0.590 60.815 61.708 
0.675 60.000 -1.092 0.490 0.499 59.965 61.057 
0.675 50.000 -1.437 0.319 0.329 58.501 59.938 
0.675 40.000 -1.862 0.108 0.113 55.961 57.823 
0.700 80.000 -0.866 0.404 0.409 59.161 60.027 
0.700 70.000 -1.019 0.367 0.378 58.583 59.601 
0.700 60.000 -1.283 0.292 0.311 57.661 58.945 
0.700 50.000 -1.722 0.174 0.200 56.150 57.871 
0.700 40.000 -2.114 0.053 0.068 53.820 55.934 
