A = CPEB4_D4, rgA = 62.535 ; B = CPEB4_alpha, rgB = 64.620 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 -2.032 0.468 0.475 69.495 71.527 
0.500 70.000 -2.068 0.473 0.479 69.123 71.191 
0.500 60.000 -2.131 0.460 0.455 68.478 70.609 
0.500 50.000 -2.250 0.402 0.369 67.260 69.510 
0.500 40.000 -2.474 0.245 0.188 64.697 67.171 
0.525 80.000 -2.072 0.629 0.635 68.025 70.097 
0.525 70.000 -2.118 0.635 0.638 67.603 69.721 
0.525 60.000 -2.199 0.612 0.598 66.878 69.077 
0.525 50.000 -2.354 0.519 0.471 65.527 67.881 
0.525 40.000 -2.646 0.293 0.219 62.759 65.405 
0.550 80.000 -2.096 0.798 0.802 66.405 68.501 
0.550 70.000 -2.153 0.801 0.799 65.924 68.078 
0.550 60.000 -2.256 0.760 0.738 65.107 67.362 
0.550 50.000 -2.450 0.619 0.559 63.608 66.058 
0.550 40.000 -2.815 0.315 0.235 60.624 63.439 
0.575 80.000 -2.103 0.939 0.940 64.600 66.704 
0.575 70.000 -2.174 0.932 0.928 64.051 66.224 
0.575 60.000 -2.299 0.863 0.838 63.129 65.427 
0.575 50.000 -2.537 0.664 0.603 61.468 64.005 
0.575 40.000 -2.977 0.296 0.226 58.266 61.243 
0.600 80.000 -2.089 1.000 1.000 62.569 64.658 
0.600 70.000 -2.176 0.976 0.972 61.941 64.117 
0.600 60.000 -2.331 0.871 0.850 60.901 63.231 
0.600 50.000 -2.623 0.619 0.574 59.066 61.688 
0.600 40.000 -3.150 0.233 0.188 55.658 58.808 
0.625 80.000 -2.050 0.931 0.932 60.263 62.313 
0.625 70.000 -2.164 0.885 0.885 59.542 61.706 
0.625 60.000 -2.363 0.749 0.742 58.369 60.732 
0.625 50.000 -2.739 0.479 0.460 56.347 59.086 
0.625 40.000 -3.401 0.148 0.131 52.771 56.172 
0.650 80.000 -2.001 0.721 0.726 57.610 59.611 
0.650 70.000 -2.165 0.657 0.667 56.776 58.940 
0.650 60.000 -2.452 0.515 0.527 55.440 57.893 
0.650 50.000 -2.993 0.285 0.297 53.205 56.198 
0.650 40.000 -3.898 0.072 0.076 49.526 53.423 
0.675 80.000 -2.024 0.426 0.443 54.470 56.494 
0.675 70.000 -2.312 0.360 0.388 53.460 55.772 
0.675 60.000 -2.820 0.247 0.286 51.870 54.690 
0.675 50.000 -3.728 0.110 0.147 49.325 53.053 
0.675 40.000 -5.039 0.023 0.037 45.617 50.656 
0.700 80.000 -2.431 0.160 0.197 50.512 52.943 
0.700 70.000 -3.045 0.114 0.163 49.160 52.205 
0.700 60.000 -4.060 0.060 0.113 47.109 51.169 
0.700 50.000 -5.591 0.018 0.056 44.153 49.744 
0.700 40.000 -7.205 0.003 0.016 40.731 47.936 
