A = CPEB4_D4, rgA = 55.378 ; B = CPEB4_alpha, rgB = 56.832 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -1.910 0.229 0.234 67.788 69.698 
0.600 70.000 -1.935 0.247 0.251 66.891 68.826 
0.600 60.000 -1.951 0.254 0.250 65.341 67.292 
0.600 50.000 -1.897 0.219 0.193 62.517 64.413 
0.600 40.000 -1.263 0.096 0.059 57.348 58.611 
0.625 80.000 -1.734 0.332 0.339 66.216 67.951 
0.625 70.000 -1.771 0.355 0.362 65.214 66.984 
0.625 60.000 -1.804 0.359 0.352 63.515 65.319 
0.625 50.000 -1.799 0.291 0.254 60.498 62.297 
0.625 40.000 -1.035 0.111 0.058 55.203 56.238 
0.650 80.000 -1.626 0.465 0.473 64.477 66.104 
0.650 70.000 -1.665 0.494 0.500 63.361 65.026 
0.650 60.000 -1.709 0.486 0.472 61.506 63.215 
0.650 50.000 -1.752 0.366 0.315 58.308 60.060 
0.650 40.000 -0.797 0.118 0.050 52.960 53.757 
0.675 80.000 -1.557 0.625 0.633 62.548 64.104 
0.675 70.000 -1.595 0.655 0.659 61.309 62.905 
0.675 60.000 -1.653 0.621 0.597 59.297 60.950 
0.675 50.000 -1.748 0.427 0.362 55.946 57.693 
0.675 40.000 -0.607 0.115 0.038 50.649 51.256 
0.700 80.000 -1.509 0.795 0.800 60.402 61.911 
0.700 70.000 -1.551 0.816 0.813 59.038 60.588 
