# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.535947550354070223e+01 9.769814310645847932e-01 1.014984820409524424e+00 1.004014302288529947e+00 1.013083123531545393e+00 1.010961395571662536e+00 1.005409648368383202e+00 1.087152703443244217e+00 1.015010526865261387e+00
1.536173841691570630e+01 9.771222680130497995e-01 1.014886911217856458e+00 1.003952504678069513e+00 1.013124369727889107e+00 1.010977421676901855e+00 1.005498381098554050e+00 1.086972311534530000e+00 1.015004011777983717e+00
1.536450940599776693e+01 9.771150025252233196e-01 1.014750502883048799e+00 1.003836684460645223e+00 1.013040071836970757e+00 1.010928819434024239e+00 1.005536129121805455e+00 1.086740476937795741e+00 1.015006672110681407e+00
1.536819896088583093e+01 9.772375312314501850e-01 1.014546845715718737e+00 1.003917816256795659e+00 1.012929280293053846e+00 1.010851471098487941e+00 1.005587330830364889e+00 1.086470694301350237e+00 1.014956039517407316e+00
1.537249976003334773e+01 9.773479517120328142e-01 1.014429643057026542e+00 1.003793001390483886e+00 1.012819701234842107e+00 1.010749654576214018e+00 1.005530950194251094e+00 1.086141972778881915e+00 1.014906247531829120e+00
1.537823240629605870e+01 9.774799397182295513e-01 1.014163417903685138e+00 1.003529214069619258e+00 1.012707480080123457e+00 1.010638295064870462e+00 1.005552433496247566e+00 1.085695964396411695e+00 1.014914248544232400e+00
1.538494512583143958e+01 9.776650990495978633e-01 1.013864341343201581e+00 1.003580040402885176e+00 1.012547473306730783e+00 1.010475353179690616e+00 1.005574518611626278e+00 1.085208266138821820e+00 1.014724743157339404e+00
1.539344456095981784e+01 9.779309012212451524e-01 1.013534761327376188e+00 1.003345128203393832e+00 1.012411896980540682e+00 1.010336578481924708e+00 1.005574237819585992e+00 1.084571023121829736e+00 1.014587709276911109e+00
1.540409084416983099e+01 9.781858494069316512e-01 1.013153457964000026e+00 1.003138113856418823e+00 1.012179057455763420e+00 1.010139807857928451e+00 1.005660316274404664e+00 1.083746371755943017e+00 1.014456261387002733e+00
1.541693608227060075e+01 9.785521335675209098e-01 1.012552648035745628e+00 1.002964085060296107e+00 1.011888549806048587e+00 1.009868340104589146e+00 1.005701385343632737e+00 1.082794445303350228e+00 1.014328686406742452e+00
1.543244061166626402e+01 9.790159560145286211e-01 1.012034791065978157e+00 1.002756826702419168e+00 1.011539347330115746e+00 1.009579465773446483e+00 1.005749971145537325e+00 1.081635350304606336e+00 1.014095931903601588e+00
1.545101227927700549e+01 9.795435984310765232e-01 1.011224190722217475e+00 1.002409047057283509e+00 1.011109639166864582e+00 1.009201138301886402e+00 1.005837130669504642e+00 1.080274237870334275e+00 1.013876946850199356e+00
