# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.818623562631803026e+01 9.900826426872721964e-01 9.938050142907802753e-01 9.967590682638136634e-01 9.995530102552787621e-01 1.032986410466460114e+00 1.003843483882520982e+00 1.060129601127908883e+00 1.005887395631857917e+00
1.818696841399161102e+01 9.902043585835667017e-01 9.937218442357714787e-01 9.968071258674109369e-01 9.995368112379960923e-01 1.033019444646364304e+00 1.003817492760941565e+00 1.060098195495571272e+00 1.005880519292627895e+00
1.818761373029139961e+01 9.901170950142306193e-01 9.937823961841946163e-01 9.968706946054664009e-01 9.995678021522929058e-01 1.032920426249811729e+00 1.003803596642636631e+00 1.060122817514114413e+00 1.005881979954965644e+00
1.818870597487689622e+01 9.901222587472147119e-01 9.937562569796349887e-01 9.967893884373951741e-01 9.995594730816665940e-01 1.032952171989467427e+00 1.003764019844038291e+00 1.060056301015254387e+00 1.005897635312877236e+00
1.819003660134310252e+01 9.901669560676891191e-01 9.937302245560664105e-01 9.967922921443252982e-01 9.995697264482007460e-01 1.033091920776906480e+00 1.003757387715382476e+00 1.059939078485259367e+00 1.005820075321432139e+00
1.819152694500133194e+01 9.902508944494526899e-01 9.937844522241985334e-01 9.967941752819693413e-01 9.995245138116339856e-01 1.032989025346292555e+00 1.003803391609023654e+00 1.059947359647966936e+00 1.005865944568439030e+00
1.819377308917091085e+01 9.902324175490642144e-01 9.937712596343850624e-01 9.967659285364054433e-01 9.994825387842249942e-01 1.032810302216150333e+00 1.003862329089192151e+00 1.059947411951743579e+00 1.005844724260466894e+00
1.819632201049413922e+01 9.901393547170898035e-01 9.938653624866846670e-01 9.968381060681656969e-01 9.995675955470701979e-01 1.032733541886244222e+00 1.003741367591655553e+00 1.059897741852454889e+00 1.005805338247717007e+00
1.819946777516707215e+01 9.902147616975323086e-01 9.938162351421206964e-01 9.968609292959478285e-01 9.995629347686401101e-01 1.032829156954496286e+00 1.003751452207100492e+00 1.059721675446576139e+00 1.005856411236695447e+00
1.820370744333126112e+01 9.902369935615444874e-01 9.938073486267680057e-01 9.969526996746188585e-01 9.995529812493201272e-01 1.032825856061160064e+00 1.003719772114440634e+00 1.059561393385919370e+00 1.005870192998369994e+00
1.820881941007078453e+01 9.902500483000777898e-01 9.938755499767023549e-01 9.968119508373851634e-01 9.995491507680840382e-01 1.032731752119711244e+00 1.003661740256362123e+00 1.059414136647801818e+00 1.005862425410701810e+00
1.821515720180326525e+01 9.902952374847269201e-01 9.938115435713030799e-01 9.968944417200130692e-01 9.995471944748166582e-01 1.032717359958944092e+00 1.003716233577778283e+00 1.059174210996881360e+00 1.005811941738804727e+00
1.822334190763005068e+01 9.903458181681612515e-01 9.939273400429120553e-01 9.969077607128946639e-01 9.995810452198977680e-01 1.032634219832018641e+00 1.003684407215365226e+00 1.058921106562041192e+00 1.005748467711022442e+00
1.823392874941275110e+01 9.903743832302371874e-01 9.938648379309147352e-01 9.968230010673286845e-01 9.995872900580400344e-01 1.032620096435266532e+00 1.003702377858629813e+00 1.058501835474754849e+00 1.005691054293670117e+00
1.824676926486066364e+01 9.904981680575883907e-01 9.939092586186443201e-01 9.968957887918331595e-01 9.995032484025715425e-01 1.032436280964286190e+00 1.003629116048520675e+00 1.058122456450145243e+00 1.005680797993136366e+00
1.826199227033591654e+01 9.905155371707587975e-01 9.939688284518712891e-01 9.969246829465221449e-01 9.996329693390464399e-01 1.032384735856938685e+00 1.003619875917568738e+00 1.057555037703180156e+00 1.005647449603704668e+00
1.828228643959230837e+01 9.906132909993095037e-01 9.938917127344251146e-01 9.969273327733535472e-01 9.996026812153721020e-01 1.032249929807366406e+00 1.003497222449051041e+00 1.056834166885418202e+00 1.005610662081315443e+00
1.830617089248083218e+01 9.907665947650433624e-01 9.939734788575474989e-01 9.969762260485631744e-01 9.996032927445213101e-01 1.032058053696429445e+00 1.003445325702281288e+00 1.056029288551752154e+00 1.005538421596364529e+00
1.833663901855540956e+01 9.908745293971281676e-01 9.940058767383952443e-01 9.969838695583708166e-01 9.996678264525802327e-01 1.031783436461965353e+00 1.003348398897803584e+00 1.054997421848887784e+00 1.005445407639844024e+00
1.837243152871800334e+01 9.911014952137872092e-01 9.940603889652963598e-01 9.970214404159398747e-01 9.997697061053558709e-01 1.031406834459735355e+00 1.003245604781061395e+00 1.053836107122791965e+00 1.005343458216324759e+00
1.841622207822912216e+01 9.913016831640146798e-01 9.941409147514226330e-01 9.970684531981770515e-01 9.997653333893361527e-01 1.031088709604976339e+00 1.003194846419478647e+00 1.052315762480046546e+00 1.005221379408442584e+00
1.846846225353773008e+01 9.915959835263979949e-01 9.941480039817319758e-01 9.971651783438281180e-01 9.998917395768112115e-01 1.030601015223884920e+00 1.003039602951283138e+00 1.050573383727559484e+00 1.005075352270408118e+00
1.853029400747436739e+01 9.918307709604587963e-01 9.943478180162244051e-01 9.972669173518591279e-01 9.998880189892620507e-01 1.029911471285414715e+00 1.002856100886429180e+00 1.048580478987469977e+00 1.004910756207456402e+00
1.860356635773214506e+01 9.922720618576530427e-01 9.944796764410309686e-01 9.973593694986303548e-01 9.999612979112546540e-01 1.029210788684004729e+00 1.002740257867570151e+00 1.046155322940964361e+00 1.004698473034689510e+00
1.868644341307524570e+01 9.926475022230847323e-01 9.945946532603265888e-01 9.974812223126194866e-01 9.999764481135657856e-01 1.028231311213968269e+00 1.002580937798689398e+00 1.043511147117524462e+00 1.004389916659482518e+00
1.878097998582919104e+01 9.931106543349079718e-01 9.948764810255819047e-01 9.975081738956017574e-01 1.000057972771907000e+00 1.027055274227383741e+00 1.002372194735542621e+00 1.040527327138793368e+00 1.004233141124779571e+00
1.888541684782503083e+01 9.935918196896992294e-01 9.951107775597707317e-01 9.976940987234423908e-01 1.000031481898977281e+00 1.025731396198674483e+00 1.002159748764219982e+00 1.037247942729118355e+00 1.003882207210131217e+00
1.899836795022179459e+01 9.941451846028432904e-01 9.954237318646643740e-01 9.978460558385752188e-01 1.000166206384357714e+00 1.024204809249421144e+00 1.001980974466707197e+00 1.033744335055160057e+00 1.003593365380905933e+00
1.911981084089674710e+01 9.946375477193702963e-01 9.957697491201065176e-01 9.980206422410906608e-01 1.000164641485578487e+00 1.022231349661079980e+00 1.001761573618876966e+00 1.030178664333235794e+00 1.003262770032261164e+00
1.924207343574039086e+01 9.952893601076988617e-01 9.961160694943531624e-01 9.982406274484967312e-01 1.000159563320742961e+00 1.020273689353705437e+00 1.001609692301932864e+00 1.026564399476468381e+00 1.002910491634775525e+00
1.936591484879841119e+01 9.958176370784614928e-01 9.965317741281974895e-01 9.983921925899224004e-01 1.000149042700281932e+00 1.018067483238073390e+00 1.001404476045796521e+00 1.023010884384635499e+00 1.002603504043392268e+00
1.948637977396912291e+01 9.963843076346730054e-01 9.969589089528512194e-01 9.985851250549577784e-01 1.000206165358122679e+00 1.015826207515581281e+00 1.001213213227859944e+00 1.019598223913358526e+00 1.002291593926617042e+00
1.959535406730104512e+01 9.968947398639872448e-01 9.973230913788575513e-01 9.987793826842672473e-01 1.000187457312223582e+00 1.013711888116873183e+00 1.001021392171710378e+00 1.016541695068122308e+00 1.001923641527324271e+00
1.969793023056354286e+01 9.973722481166993337e-01 9.976937103931107220e-01 9.989138473725519551e-01 1.000187536084414130e+00 1.011577445513161422e+00 1.000866690856748953e+00 1.013727079550815535e+00 1.001634267149420943e+00
1.978551853952008344e+01 9.978131912872327813e-01 9.980952534449025748e-01 9.991348254681771124e-01 1.000232151025559624e+00 1.009719838825021920e+00 1.000792133674010209e+00 1.011333291068480467e+00 1.001403424539107023e+00
1.986183079358965742e+01 9.982180663978402757e-01 9.984436324314551747e-01 9.992689853359716379e-01 1.000104720527214663e+00 1.007987924400787882e+00 1.000640493013120302e+00 1.009325421825858271e+00 1.001135719360958021e+00
1.992663179837652976e+01 9.985415176700892514e-01 9.987509787551289708e-01 9.994077555197409257e-01 1.000143455186826014e+00 1.006612170293136321e+00 1.000510128088109241e+00 1.007501692113830671e+00 1.000955287193564747e+00
1.998089599643228453e+01 9.988319496338100567e-01 9.989570272897503322e-01 9.994722710107338814e-01 1.000131983000674740e+00 1.005346447143959931e+00 1.000356103235611638e+00 1.006056110970618533e+00 1.000727485063555022e+00
2.002619349737502574e+01 9.990291736040544102e-01 9.991117324979328362e-01 9.996225362790256419e-01 1.000121404128381908e+00 1.004301523791983675e+00 1.000335282930523428e+00 1.004802159103897585e+00 1.000615186215166208e+00
2.006200170736777366e+01 9.991957146563974490e-01 9.993348387131880672e-01 9.996811657514199645e-01 1.000069478493015973e+00 1.003403529028338514e+00 1.000253437441264159e+00 1.003888613761601656e+00 1.000491496575653283e+00
2.009150004342832574e+01 9.993882701943700431e-01 9.994695772989702354e-01 9.997688131824480351e-01 1.000064399109786173e+00 1.002737895003884994e+00 1.000196853055375090e+00 1.003063561205957965e+00 1.000412441275782216e+00
2.011290690746560372e+01 9.995153232524776055e-01 9.995624010274477556e-01 9.997687929752534508e-01 1.000069711366974978e+00 1.002253447366885819e+00 1.000194302082158426e+00 1.002459322104247708e+00 1.000283710651767688e+00
2.013301047902019292e+01 9.996030306664602794e-01 9.996756564359836617e-01 9.998095245018110422e-01 1.000001479681287941e+00 1.001686655589782315e+00 1.000143423526417941e+00 1.001984476460722195e+00 1.000250007960895360e+00
2.014682901710813923e+01 9.997112363636225796e-01 9.996926714599146946e-01 9.998942461228590428e-01 1.000043984582521084e+00 1.001399721645866547e+00 1.000102677565859466e+00 1.001567841246832735e+00 1.000208233686636472e+00
