# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.718965153958356140e+01 9.895453362531777541e-01 9.962227818202490370e-01 9.979884870467683466e-01 9.986861587312543254e-01 1.017877766804652140e+00 1.005497164578032177e+00 1.056911028195779423e+00 1.004276436633680269e+00
1.719017361447936665e+01 9.896746083151508611e-01 9.962531664362059836e-01 9.979849052629516937e-01 9.986738825114571672e-01 1.017890205704641282e+00 1.005521062238027064e+00 1.056911333199494596e+00 1.004253876160959402e+00
1.719090919234231407e+01 9.897434919917615925e-01 9.962142171345932384e-01 9.979942799821734933e-01 9.986632021126788938e-01 1.017816288995734730e+00 1.005492548395925390e+00 1.056908711358011121e+00 1.004386518930801664e+00
1.719193616274898062e+01 9.896368854448717167e-01 9.962415535697615177e-01 9.979634020363611357e-01 9.986357341276301813e-01 1.017887644691682247e+00 1.005446094848129412e+00 1.056839952385584702e+00 1.004279484300576675e+00
1.719306736520563206e+01 9.896214918034880181e-01 9.962200263017819690e-01 9.978932148497450250e-01 9.986939232714027170e-01 1.017773582923548581e+00 1.005544603727360098e+00 1.056815022893965672e+00 1.004305391356893118e+00
1.719450691560493638e+01 9.897044522419151669e-01 9.962053527758931715e-01 9.979516067552338665e-01 9.986458007722813779e-01 1.017763710960902568e+00 1.005417500371844852e+00 1.056793182432165246e+00 1.004258495898325165e+00
1.719641535344070959e+01 9.897952961699063579e-01 9.962498886963460087e-01 9.979311221888598205e-01 9.986752471160211808e-01 1.017758256874398359e+00 1.005595616399260317e+00 1.056724096483795394e+00 1.004248450983503016e+00
1.719875868297754806e+01 9.898669370298422976e-01 9.961678963601694470e-01 9.980217559546347150e-01 9.987457781740722851e-01 1.017711883027730746e+00 1.005389374922058821e+00 1.056678875605542078e+00 1.004266876732406111e+00
1.720176122474425995e+01 9.897915307839602050e-01 9.962513202362919262e-01 9.980037716149143812e-01 9.987106873332031176e-01 1.017724826359425183e+00 1.005398532744728124e+00 1.056547675679494480e+00 1.004276849510018721e+00
1.720566963360697343e+01 9.897655549785204787e-01 9.963303674847895364e-01 9.979775849504081142e-01 9.987389541949555083e-01 1.017634172523481872e+00 1.005355760350537420e+00 1.056431070691588925e+00 1.004257584987987340e+00
1.721035644448835811e+01 9.899405128309302082e-01 9.962340022758660041e-01 9.980613741111163950e-01 9.987687365703872278e-01 1.017539074491173867e+00 1.005377874335734667e+00 1.056310666593477388e+00 1.004210267565571080e+00
1.721615105824281144e+01 9.898665281536860316e-01 9.962960703873000590e-01 9.980455113839380443e-01 9.987371910789594187e-01 1.017562167893935055e+00 1.005323925863256029e+00 1.056077124040949666e+00 1.004182972102342752e+00
1.722356262113114411e+01 9.899671580593840670e-01 9.962563159504620458e-01 9.980300309450542695e-01 9.987357456832879343e-01 1.017530306241606564e+00 1.005242356614204358e+00 1.055824942481993656e+00 1.004186387913138745e+00
1.723239464431607360e+01 9.900303753093887549e-01 9.962811723238907957e-01 9.979745437476635894e-01 9.987703115307130508e-01 1.017421597068481898e+00 1.005272444938001719e+00 1.055531980343913823e+00 1.004154618353828576e+00
1.724402180745576629e+01 9.900373803179665089e-01 9.963451629830168965e-01 9.980586372773260218e-01 9.987964348457935015e-01 1.017305451818170781e+00 1.005204414508032107e+00 1.055142622291356247e+00 1.004115871259825710e+00
1.725797474120973973e+01 9.901603431605262573e-01 9.963575023760717908e-01 9.980243910137238661e-01 9.988054630045831717e-01 1.017172856710194750e+00 1.005109529771116339e+00 1.054686289932074139e+00 1.004083102170567177e+00
1.727529188806576244e+01 9.902943775760887357e-01 9.963791884351255179e-01 9.980775067865976791e-01 9.988966073541361013e-01 1.017026417433280816e+00 1.005013220138641250e+00 1.054110887846663402e+00 1.004124713558468551e+00
1.729618325644035437e+01 9.903592384221682199e-01 9.963839173363677748e-01 9.980608346245103402e-01 9.989004014207465421e-01 1.016776468645568698e+00 1.004921069091319286e+00 1.053427087944144303e+00 1.004046153282792897e+00
1.732287739850988117e+01 9.906360297221147304e-01 9.963545897822029263e-01 9.980100033083081357e-01 9.990007881591396188e-01 1.016607020432456210e+00 1.004761551410093823e+00 1.052548584805050202e+00 1.003951884274044026e+00
