# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.568708222422841736e+01 9.814749033426429792e-01 9.988538005230769290e-01 9.976048076535093401e-01 1.001256667191149363e+00 1.010232228846039249e+00 1.004015760809871427e+00 1.080340177536133650e+00 1.010114487763495550e+00
1.568863489007661727e+01 9.815836497625785029e-01 9.988577618070012543e-01 9.975526393182766460e-01 1.001301017711562213e+00 1.010222032114862278e+00 1.004000971806801701e+00 1.080235118918550175e+00 1.010206393292667482e+00
1.569077607076542158e+01 9.816072897242767992e-01 9.988194267885451838e-01 9.974751685741652940e-01 1.001276976285770726e+00 1.010161428142158258e+00 1.003995973816342424e+00 1.080087041183973362e+00 1.010174934395169366e+00
1.569323879973328140e+01 9.814736170927791381e-01 9.989520419009796370e-01 9.976404357136771095e-01 1.001349955722667051e+00 1.010118768006069256e+00 1.004037746705992884e+00 1.079882903858459198e+00 1.010138246551813168e+00
1.569642036734127899e+01 9.817229775852887030e-01 9.988595833422413417e-01 9.975944025269104509e-01 1.001361328997986355e+00 1.010066905177133822e+00 1.003977314595654313e+00 1.079718857061851001e+00 1.010032677869618922e+00
1.570034405413419343e+01 9.817903483519627716e-01 9.989064044595010738e-01 9.975093287298494316e-01 1.001285014367869097e+00 1.009947608340651115e+00 1.004046433228906743e+00 1.079449830399354715e+00 1.010016013546006786e+00
1.570546244937805902e+01 9.819578843426360892e-01 9.989172990616258518e-01 9.974716803825864897e-01 1.001379741887309383e+00 1.009801402518972324e+00 1.003950497696507238e+00 1.079117828654720501e+00 1.010046579275665213e+00
1.571168556177578246e+01 9.820402898606177544e-01 9.989435853145390842e-01 9.974757279699545398e-01 1.001429272482919020e+00 1.009688424525009065e+00 1.004033479998220901e+00 1.078684057201544144e+00 1.009989607368620534e+00
1.571917913125239785e+01 9.821989982204067937e-01 9.990508315193389333e-01 9.974536926820314342e-01 1.001404729927173554e+00 1.009515725679158038e+00 1.004046585666159341e+00 1.078191772465440623e+00 1.009886314219445858e+00
1.572889879022721260e+01 9.823946198847579581e-01 9.991159559085706077e-01 9.973866051682745981e-01 1.001430248186033545e+00 1.009264777730543017e+00 1.004076109462885613e+00 1.077543971536356837e+00 1.009822311855653520e+00
1.574054400745921001e+01 9.827316581975713561e-01 9.991803799906305850e-01 9.973591804326455978e-01 1.001431307698510409e+00 1.009034170810693576e+00 1.004048708633041631e+00 1.076802300139046320e+00 1.009663527598382959e+00
1.575495053423383673e+01 9.829273882863032163e-01 9.992702271246451939e-01 9.973181917635600691e-01 1.001582344508476607e+00 1.008670588150456293e+00 1.004011084620441308e+00 1.075834551558361607e+00 1.009566197154888822e+00
1.577216502006511867e+01 9.833074957099016133e-01 9.994826325471452000e-01 9.972722776503508690e-01 1.001607281513406278e+00 1.008280508965364142e+00 1.003870977784622642e+00 1.074728575711966005e+00 1.009411434501500171e+00
1.579326757876524034e+01 9.837665108036039996e-01 9.994600721435763502e-01 9.973059486791446826e-01 1.001679069155231971e+00 1.007843471273280223e+00 1.003989048823669350e+00 1.073371911624481978e+00 1.009160668308984876e+00
1.581782731111287532e+01 9.843161527898682817e-01 9.995618571346840397e-01 9.971786060652014783e-01 1.001746330818500841e+00 1.007357762909882437e+00 1.003953608477208714e+00 1.071802356282961721e+00 1.008986068203127751e+00
1.584683559116860074e+01 9.848993792107840761e-01 9.997145400154541228e-01 9.971517546840052981e-01 1.001780739310200508e+00 1.006764069575251552e+00 1.003923734617509833e+00 1.069980137026589562e+00 1.008679990465601861e+00
1.588078988925610702e+01 9.855325152598783944e-01 9.997821137757509913e-01 9.971394386675863641e-01 1.001824276789224033e+00 1.006141603664424622e+00 1.003870162163544411e+00 1.067861477779308732e+00 1.008373070090374357e+00
1.591929901676723347e+01 9.862210060184598559e-01 9.999347057362261149e-01 9.971102823941185855e-01 1.001953928030558494e+00 1.005449051942111316e+00 1.003778989835589552e+00 1.065497136553751556e+00 1.008043019173231247e+00
1.596279888860717477e+01 9.870263649351397328e-01 1.000020605895113990e+00 9.970903841675160528e-01 1.001988794539503402e+00 1.004676767967987772e+00 1.003699339468816287e+00 1.062907831643940870e+00 1.007574590793953506e+00
1.601148875447209008e+01 9.877800888931290713e-01 1.000082386843434090e+00 9.971064598128693834e-01 1.001997635618403493e+00 1.003939210951549699e+00 1.003587627699590534e+00 1.060045017970717485e+00 1.007117039202571895e+00
1.606497172193344269e+01 9.887366033970301782e-01 1.000177252355668678e+00 9.971800821940053350e-01 1.001950532524631621e+00 1.003072378544434429e+00 1.003433432011795023e+00 1.057018998442746938e+00 1.006722601786419702e+00
1.612229507416487095e+01 9.894909962818170257e-01 1.000224348308214939e+00 9.972390346326436283e-01 1.001938905401508428e+00 1.002386627072991532e+00 1.003371008607427894e+00 1.053820328606844159e+00 1.006201754899407330e+00
1.618515304882197015e+01 9.903678353428213565e-01 1.000262314788059825e+00 9.972884264735152327e-01 1.001956814948755659e+00 1.001667743456424065e+00 1.003187545137657510e+00 1.050444086331997484e+00 1.005711104012851242e+00
1.625166256657738018e+01 9.911993468601640878e-01 1.000287341209879388e+00 9.973648294493671074e-01 1.001763982392328556e+00 1.000985026765588204e+00 1.002974565506375759e+00 1.046991316613019363e+00 1.005258714798048514e+00
1.632206449138009319e+01 9.919335071129932180e-01 1.000310987373826954e+00 9.975994688958563783e-01 1.001737765266620617e+00 1.000398326802393711e+00 1.002844539385519207e+00 1.043455778322683214e+00 1.004709662363002520e+00
1.639566357778260652e+01 9.927605132936082599e-01 1.000324213288032782e+00 9.976909548725275689e-01 1.001551428509593444e+00 9.998428294552068607e-01 1.002609728330645655e+00 1.039912051256058900e+00 1.004250068116449457e+00
1.647058088614020477e+01 9.934852881066552621e-01 1.000283731667261478e+00 9.978994180194039609e-01 1.001462470807632066e+00 9.994519785234348142e-01 1.002476883864098944e+00 1.036416653388868792e+00 1.003870515739168301e+00
1.654861260711285453e+01 9.942169142407961679e-01 1.000245471930061969e+00 9.981377376805482537e-01 1.001369772489438370e+00 9.991432177566013095e-01 1.002216733804349946e+00 1.032936568715374204e+00 1.003385793111581714e+00
1.662797179345228571e+01 9.948500213303086426e-01 1.000333259034857258e+00 9.982489020261537949e-01 1.001228152628528267e+00 9.988599437962806249e-01 1.002061217540395788e+00 1.029494339201901809e+00 1.002956577614104283e+00
1.670811528654246914e+01 9.955239180282378086e-01 1.000257661996487357e+00 9.984040383884145164e-01 1.001031273443196756e+00 9.987279411252754091e-01 1.001932058817622595e+00 1.026156679773824409e+00 1.002557852720854736e+00
1.678707898390193165e+01 9.961026243623536391e-01 1.000195319320825282e+00 9.986220816176307746e-01 1.000955762846966302e+00 9.986428378398979344e-01 1.001656404592843108e+00 1.022976560605178165e+00 1.002166791478594554e+00
1.686236815007083223e+01 9.966765602348475195e-01 1.000213843724089724e+00 9.987561793225976370e-01 1.000853493394341598e+00 9.986538746985920145e-01 1.001413299767682563e+00 1.020033830129264629e+00 1.001866073668736812e+00
1.693679077019464785e+01 9.970581292134222950e-01 1.000151828407731314e+00 9.989512942506062476e-01 1.000705103104666538e+00 9.986847707501957938e-01 1.001269108667544039e+00 1.017172064667075215e+00 1.001586284282940387e+00
1.700512776797941683e+01 9.975351441419441079e-01 1.000120922173753479e+00 9.990701591807192861e-01 1.000576724456317512e+00 9.987869812518693768e-01 1.001082751694260420e+00 1.014626648109634655e+00 1.001398003570570960e+00
1.706699915578745674e+01 9.979657101020327215e-01 1.000085176076557669e+00 9.991900084892635370e-01 1.000521780906611369e+00 9.988510120655764712e-01 1.000915580106014335e+00 1.012371069462260742e+00 1.001141795402756163e+00
1.712392151032458543e+01 9.982941771138645892e-01 1.000094246327900116e+00 9.993632824621918598e-01 1.000428751626811330e+00 9.990049762184960436e-01 1.000754699307180751e+00 1.010332687926825956e+00 1.000914490489691167e+00
1.717342240337039172e+01 9.985537770167824956e-01 1.000040496837621529e+00 9.994452206419570661e-01 1.000330281207496563e+00 9.991524638110704792e-01 1.000651376209880761e+00 1.008575050205661849e+00 1.000725029991939685e+00
