# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.620711856188812305e+01 9.867141288062788451e-01 9.953811349361691985e-01 9.968163466710482368e-01 1.003210199406222136e+00 1.009272771040020888e+00 1.003173890437258464e+00 1.067165530120016692e+00 1.008185824090074068e+00
1.620806743918403470e+01 9.866385716271344197e-01 9.952548879354112810e-01 9.969007515896888272e-01 1.003203822101457199e+00 1.009215030146316749e+00 1.003261494817683896e+00 1.067109055446562760e+00 1.008118469969156994e+00
1.620917243784695216e+01 9.866975300639192481e-01 9.953496191064323817e-01 9.968523879882795757e-01 1.003137066952010104e+00 1.009232377867154584e+00 1.003180927975115155e+00 1.067077375241878734e+00 1.008079125095797446e+00
1.621072721688645757e+01 9.866677834755404053e-01 9.950738039372143406e-01 9.967701199037576343e-01 1.003296415623216475e+00 1.009120889311111213e+00 1.003259129239659320e+00 1.066953280655718928e+00 1.008238993919237547e+00
1.621244924581120728e+01 9.867825432625361159e-01 9.952525262425758745e-01 9.968647752591690558e-01 1.003145709280734099e+00 1.009194349474957564e+00 1.003228039751272060e+00 1.066924659540224418e+00 1.008055238102532503e+00
1.621479909399127806e+01 9.867691564753693356e-01 9.952995546128796667e-01 9.968640271018436305e-01 1.003153271972653471e+00 1.009194772846412125e+00 1.003207632649700587e+00 1.066809103589692942e+00 1.008019926329144278e+00
1.621774037533963053e+01 9.867782692239874809e-01 9.954585427358202399e-01 9.968764475242084533e-01 1.003133008506550627e+00 1.009204689692189572e+00 1.003219478801246733e+00 1.066660467437760218e+00 1.008102062121000841e+00
1.622137493587282719e+01 9.868556435549182826e-01 9.954129088838084005e-01 9.968761186888153158e-01 1.003117131562554665e+00 1.009121268353259993e+00 1.003117075716283280e+00 1.066519538273299705e+00 1.007964891149285336e+00
1.622589545808294531e+01 9.868889879492392936e-01 9.953539392091704796e-01 9.968496313384354046e-01 1.003117590569659434e+00 1.009097053466478933e+00 1.003158257082995330e+00 1.066290311348444320e+00 1.007965395459008207e+00
1.623189710267005736e+01 9.870046433386773232e-01 9.954772502063766737e-01 9.968228507825627194e-01 1.003094842913011320e+00 1.009026882177613826e+00 1.003055740270997198e+00 1.066035118903214673e+00 1.007913806805320611e+00
1.623882236717251715e+01 9.869978873515723450e-01 9.954604256619170588e-01 9.968636103168732054e-01 1.003094034215811448e+00 1.009000443375474676e+00 1.003138503764439360e+00 1.065695562652294370e+00 1.007791524585562204e+00
1.624765223720669027e+01 9.871650918744591108e-01 9.955642890916956977e-01 9.968412224146354639e-01 1.003023616591720124e+00 1.008886710860381619e+00 1.003151847430667765e+00 1.065302160734854287e+00 1.007803130242657330e+00
1.625874050177135288e+01 9.873583473279733402e-01 9.954847937928725798e-01 9.967795997918984519e-01 1.002990156981121039e+00 1.008804959696710135e+00 1.003105794351181190e+00 1.064798743809050929e+00 1.007684468269051337e+00
1.627239628076111444e+01 9.875217506929938605e-01 9.956509899100087768e-01 9.968360740422523847e-01 1.002967504047937553e+00 1.008734896994731844e+00 1.003065920668868349e+00 1.064184556914608892e+00 1.007552136751924898e+00
1.628856986868387224e+01 9.876540659424859481e-01 9.956788506109151005e-01 9.968867527825335806e-01 1.002942925854653833e+00 1.008493188207601587e+00 1.003036201837376629e+00 1.063445423145311874e+00 1.007498106758178746e+00
1.630901360149012547e+01 9.878720449769650136e-01 9.956813227345411299e-01 9.968480386375839775e-01 1.002867255444011230e+00 1.008310094216783970e+00 1.003018753497088245e+00 1.062522403705354890e+00 1.007284476043268429e+00
1.633310820549818487e+01 9.882319253136429005e-01 9.957671290918969076e-01 9.968404278554550135e-01 1.002867304394408965e+00 1.008087714953772140e+00 1.002925450004038765e+00 1.061462064217323586e+00 1.007116396638322975e+00
1.636203663726473323e+01 9.884489507000338016e-01 9.958730759455517445e-01 9.968675533823838641e-01 1.002739374178712506e+00 1.007825146300463270e+00 1.002928034923096012e+00 1.060158337453543265e+00 1.006955517045533988e+00
1.639689360484186409e+01 9.888501116692799409e-01 9.960857930475122135e-01 9.969154461128776346e-01 1.002626756519030327e+00 1.007539547967954086e+00 1.002842538870533540e+00 1.058649311316500752e+00 1.006668084866924939e+00
1.643729866509926296e+01 9.892205868657303336e-01 9.961676782168780164e-01 9.969366335603226936e-01 1.002576051835621485e+00 1.007184657535345806e+00 1.002701592818360243e+00 1.056884832921360040e+00 1.006437051746662092e+00
1.648343944780020109e+01 9.897656283723331727e-01 9.963036656861539164e-01 9.969531299530876023e-01 1.002472589564888938e+00 1.006886928685343463e+00 1.002697354853730349e+00 1.054918519518720510e+00 1.006089730158950868e+00
1.653706439653669946e+01 9.902224322895584185e-01 9.964865353972743867e-01 9.970795643751775295e-01 1.002357514001023686e+00 1.006405353341007336e+00 1.002617523529326427e+00 1.052654915324505058e+00 1.005826742063176571e+00
1.659662262740319960e+01 9.908170171352070899e-01 9.966888264766475825e-01 9.971315319402990207e-01 1.002252517086771988e+00 1.006003605000202583e+00 1.002490498002930774e+00 1.050200984045813302e+00 1.005416308346960941e+00
1.666383115168380158e+01 9.914108917357047357e-01 9.969348214175168810e-01 9.972658304263765094e-01 1.002098936747300106e+00 1.005538371713621704e+00 1.002314224200777204e+00 1.047476176695418593e+00 1.005075141292651963e+00
1.673726733760225116e+01 9.920179221012219717e-01 9.971322668823204838e-01 9.973635791208843582e-01 1.002026379069501649e+00 1.005068924564725963e+00 1.002184477381329764e+00 1.044546813459140466e+00 1.004659697181163436e+00
1.681616878662185854e+01 9.926474986104272258e-01 9.973963144054045493e-01 9.975454445509590595e-01 1.001847430619099200e+00 1.004638685081530758e+00 1.002041573871771840e+00 1.041469956038090006e+00 1.004269870897385175e+00
1.690153312829957599e+01 9.932498590848581888e-01 9.974838009150867046e-01 9.977415675200561607e-01 1.001744028531944330e+00 1.004247494539247665e+00 1.001813350551409965e+00 1.038185654811220049e+00 1.003873733697814963e+00
1.699057431522603068e+01 9.939906997861822635e-01 9.978135114248867232e-01 9.978389866849064482e-01 1.001565930047386477e+00 1.003769785286360516e+00 1.001718297762191012e+00 1.034873474318100284e+00 1.003469805629977785e+00
1.708216443460530698e+01 9.945736710533199521e-01 9.980645388959492603e-01 9.980472326596345756e-01 1.001453101596183837e+00 1.003388072003269516e+00 1.001574164436240588e+00 1.031493351175228668e+00 1.003151633473743143e+00
1.717561549767743045e+01 9.951830461411079742e-01 9.982251084594822022e-01 9.982830196683714075e-01 1.001229403523093309e+00 1.003064092428771259e+00 1.001386152606119406e+00 1.028128251049713615e+00 1.002706047349769758e+00
1.726968874223121730e+01 9.958059568357973124e-01 9.984604417008581256e-01 9.983937089136964982e-01 1.001081849992105255e+00 1.002653631682267399e+00 1.001153274335080612e+00 1.024798129064199426e+00 1.002404130613122613e+00
1.736187621782606882e+01 9.963178818179092566e-01 9.985558112114344409e-01 9.985674800465011991e-01 1.000859682338398615e+00 1.002347830501445713e+00 1.000944876909148462e+00 1.021564009806052775e+00 1.002082662017723003e+00
1.744944057279411709e+01 9.968920517688341087e-01 9.987672652901391501e-01 9.987825570263498820e-01 1.000912028142509458e+00 1.002134330106855042e+00 1.000892330084210968e+00 1.018534452516203892e+00 1.001764397496868408e+00
1.752968454638091700e+01 9.973483719639799627e-01 9.989756971323016099e-01 9.989888766311428858e-01 1.000771145355510816e+00 1.001826597247684081e+00 1.000773179864593354e+00 1.015798932750805017e+00 1.001530317075204124e+00
1.760432284851973250e+01 9.977838290199865234e-01 9.991759577362971934e-01 9.991013966624942011e-01 1.000625680910314230e+00 1.001643645665558857e+00 1.000578804580264158e+00 1.013271470915471983e+00 1.001261335836353128e+00
1.767139427965689435e+01 9.981909161142501485e-01 9.993114772994380335e-01 9.992680351347001944e-01 1.000556935132971947e+00 1.001441702674237266e+00 1.000468099355979579e+00 1.011011984928442242e+00 1.001085512304291658e+00
1.772839597931556455e+01 9.985100018305497205e-01 9.994344446208603960e-01 9.993651587160999883e-01 1.000424738482726728e+00 1.001279369163706523e+00 1.000427128260447329e+00 1.009100083813760929e+00 1.000872000477318835e+00
1.777884694960807010e+01 9.987927104975391490e-01 9.995344006974321571e-01 9.995108076236824957e-01 1.000424272540286541e+00 1.001075942163681898e+00 1.000332625425125244e+00 1.007422530146199424e+00 1.000686851996609228e+00
