# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.668593325601500155e+01 9.877292558526098443e-01 9.932602264021104244e-01 9.970383458153935230e-01 9.966487883307055817e-01 1.016450494844377550e+00 1.005465844600534231e+00 1.063934732012292717e+00 1.005251965503733746e+00
1.668674031828855675e+01 9.876199005760275540e-01 9.933481777872992247e-01 9.970983303492803040e-01 9.966482829549434541e-01 1.016525321189307718e+00 1.005467872996823608e+00 1.063860366519772782e+00 1.005331788721901098e+00
1.668772901262758168e+01 9.875454908203677995e-01 9.933157341003483465e-01 9.970268398200157201e-01 9.967017923626921849e-01 1.016481559016371605e+00 1.005600880107460515e+00 1.063798930295104084e+00 1.005276953705326548e+00
1.668906999134789615e+01 9.876351450644197394e-01 9.933577029025945082e-01 9.971158377361315495e-01 9.967960871189945893e-01 1.016479949331183796e+00 1.005520740978488980e+00 1.063776640315140076e+00 1.005228170016273737e+00
1.669060777009077867e+01 9.876357802801214447e-01 9.933544886307570376e-01 9.970896237671686979e-01 9.967339848366268962e-01 1.016460939337716418e+00 1.005464820097481837e+00 1.063710175342704289e+00 1.005201363317848706e+00
1.669269470369426855e+01 9.875391519603653467e-01 9.933914608308610505e-01 9.971194246009446038e-01 9.967351188567933340e-01 1.016474332916341705e+00 1.005467084746958895e+00 1.063582386193818285e+00 1.005329563160325179e+00
1.669518871508500268e+01 9.876561846492635244e-01 9.934366844838447008e-01 9.971561520235860954e-01 9.967999874077624334e-01 1.016414043982025728e+00 1.005493831333046373e+00 1.063524394659267180e+00 1.005137517069399467e+00
1.669856965594239639e+01 9.876686337932201187e-01 9.935485251130343753e-01 9.971310025565337520e-01 9.966958001099840425e-01 1.016353345446993295e+00 1.005535648330404763e+00 1.063379312212943129e+00 1.005171963915233446e+00
1.670266982940015055e+01 9.876759154966163745e-01 9.934662540093648353e-01 9.971435985392470558e-01 9.966966328649331519e-01 1.016333728463462815e+00 1.005377933258420953e+00 1.063192454042681589e+00 1.005209764426961305e+00
1.670773745010671263e+01 9.878139818073735645e-01 9.935124727098096908e-01 9.971989231229521078e-01 9.967626893397855126e-01 1.016272877494900140e+00 1.005480499874279232e+00 1.063000310295493467e+00 1.005144588716298859e+00
1.671425667498104062e+01 9.878446279446644329e-01 9.936132436253839462e-01 9.971456197082073647e-01 9.968325256216343799e-01 1.016139618673858491e+00 1.005401678771400853e+00 1.062743022443871643e+00 1.005210961265442071e+00
1.672213109801099051e+01 9.878934323035331033e-01 9.937541915226832945e-01 9.971327095947176700e-01 9.968650118420011585e-01 1.015977706400536418e+00 1.005406712919310497e+00 1.062437635364584576e+00 1.005183047203314972e+00
1.673177092982299285e+01 9.880080815925973425e-01 9.937854246521102830e-01 9.972029782599074466e-01 9.969600216418346150e-01 1.015933488326410616e+00 1.005312117593186505e+00 1.062043051871837562e+00 1.005071445457597079e+00
1.674432633799939651e+01 9.881895978136108205e-01 9.938207949002371144e-01 9.972237380458578437e-01 9.970497378623245366e-01 1.015764369978777726e+00 1.005294582923567992e+00 1.061540999063315560e+00 1.005059027132418903e+00
1.675943840501333426e+01 9.882917538371567279e-01 9.939487196182555939e-01 9.972940103205514273e-01 9.970758365707748094e-01 1.015649836093331704e+00 1.005177676610742754e+00 1.060914281088752631e+00 1.004987423682502712e+00
1.677761650655448378e+01 9.884817137457697633e-01 9.940980765700588861e-01 9.972893638497235536e-01 9.971656084629955119e-01 1.015397360385327907e+00 1.005155131496267895e+00 1.060191937304366228e+00 1.004946301235566608e+00
1.679975541142909279e+01 9.887202963276461309e-01 9.942245856857953035e-01 9.973709566364500345e-01 9.973783697115846669e-01 1.015122103310144963e+00 1.004987157172178680e+00 1.059333083175947321e+00 1.004823707765637231e+00
1.682701422480642606e+01 9.889240448255260940e-01 9.945172916018538700e-01 9.974411441379088528e-01 9.974182948424903383e-01 1.014807235226770299e+00 1.004900655593894632e+00 1.058250064805033475e+00 1.004719686998775341e+00
1.685959645707515975e+01 9.893375310143245338e-01 9.946121709798892985e-01 9.975031208939719729e-01 9.975763466371593280e-01 1.014428202021197656e+00 1.004798561807039192e+00 1.056982153031547078e+00 1.004596108224501183e+00
1.689744635387050309e+01 9.895820378404842632e-01 9.949309943377322440e-01 9.975979345587142610e-01 9.977451477907184341e-01 1.014091428293723229e+00 1.004621377373564828e+00 1.055475816971244596e+00 1.004532697463618396e+00
