# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.608435374151867236e+01 9.982120427381269145e-01 1.002942699215495725e+00 1.000086176721558306e+00 9.992771910506268451e-01 9.687520406540809370e-01 1.001596323529230892e+00 1.016069956868616897e+00 1.002212463124184882e+00
1.608459883926640899e+01 9.981851611599936724e-01 1.002914847597078385e+00 1.000134157827066828e+00 9.992909693958420547e-01 9.687445373428014150e-01 1.001586093690064905e+00 1.016034939960484884e+00 1.002279086420925669e+00
1.608487996666422859e+01 9.982314390707007767e-01 1.002928990295957945e+00 1.000086519983652167e+00 9.993095309277529870e-01 9.687738852061416051e-01 1.001533213305085157e+00 1.016086688772299240e+00 1.002264212674759403e+00
1.608536174919575146e+01 9.982560729892335782e-01 1.002891924385099109e+00 1.000129635885449009e+00 9.993240678839672153e-01 9.687599137806416350e-01 1.001566758461550632e+00 1.016042689659629517e+00 1.002228450045306918e+00
1.608564977325175960e+01 9.981833087477720579e-01 1.002938847603114247e+00 1.000122379834230690e+00 9.993004796086308872e-01 9.687595521297166501e-01 1.001573667018818892e+00 1.016016191942559210e+00 1.002161749945883029e+00
1.608653988715849081e+01 9.982115575905444738e-01 1.002950028689505224e+00 1.000122927479397017e+00 9.992906606688152227e-01 9.688132472821106012e-01 1.001564733439465060e+00 1.016064999925991641e+00 1.002201178107492208e+00
1.608732098416736989e+01 9.982098545901644249e-01 1.002869340810016219e+00 1.000152404992950883e+00 9.993535376328324116e-01 9.688164426370236004e-01 1.001598663063560046e+00 1.016036830812484748e+00 1.002217533076462219e+00
1.608822219862515368e+01 9.981830829064598509e-01 1.002926478171939806e+00 1.000183706194365030e+00 9.992762294116445121e-01 9.688292743133180007e-01 1.001577389995562672e+00 1.015991925430076659e+00 1.002236492601272566e+00
1.608965931304063446e+01 9.982115292835127551e-01 1.002879857531460139e+00 1.000115936720093357e+00 9.993241123408107551e-01 9.688527827484263444e-01 1.001574900707717486e+00 1.015973668443442612e+00 1.002197859979540695e+00
1.609120943902882672e+01 9.981988299050401636e-01 1.002864024525403908e+00 1.000082375005254320e+00 9.993509949897982914e-01 9.688671889338249521e-01 1.001527232772809084e+00 1.015919786642667022e+00 1.002191717925458025e+00
1.609304261510244771e+01 9.982323313244044760e-01 1.002888428892472872e+00 1.000102690707543207e+00 9.993157100100594770e-01 9.689424236201333862e-01 1.001602322153346103e+00 1.015951628236820170e+00 1.002181182118215830e+00
1.609572809281574735e+01 9.981786480534071693e-01 1.002878010165470180e+00 1.000142120349579944e+00 9.993082922333591522e-01 9.689816365809014176e-01 1.001560395875675580e+00 1.015875338950098072e+00 1.002153035556059280e+00
1.609912776447356464e+01 9.982407012065096508e-01 1.002857815404222475e+00 1.000060668743996795e+00 9.993529681824209199e-01 9.690814716699498454e-01 1.001598647969435429e+00 1.015882462759948757e+00 1.002150672053296443e+00
1.610283804695165344e+01 9.981625647215777164e-01 1.002905188550906157e+00 1.000112972427825930e+00 9.993781458712670540e-01 9.691524953259189612e-01 1.001575370275698207e+00 1.015788890866846650e+00 1.002173360700379767e+00
1.610788645352905135e+01 9.982246396900300578e-01 1.002898599090459086e+00 1.000116643255280602e+00 9.993955451945655266e-01 9.692797050111208179e-01 1.001628832699924088e+00 1.015747670540799508e+00 1.002185789239712799e+00
1.611388718107863127e+01 9.981980787780839748e-01 1.002879390894381828e+00 1.000039382819905676e+00 9.994028108728503224e-01 9.694079453969217663e-01 1.001584611085295506e+00 1.015666779629675887e+00 1.002125591328455467e+00
1.612136906222788824e+01 9.982347151423683895e-01 1.002808973815679572e+00 1.000051347087812070e+00 9.994342387687449314e-01 9.695644824637679182e-01 1.001667370640189514e+00 1.015559973015375483e+00 1.002079096249106627e+00
1.613116665098144509e+01 9.981851425630430263e-01 1.002831127530492861e+00 1.000112699562387464e+00 9.994714426967812315e-01 9.698895209037021736e-01 1.001595529474586410e+00 1.015640942373219557e+00 1.002040234117485218e+00
1.614213704965237994e+01 9.982502818171024028e-01 1.002839848817177471e+00 1.000030385122800514e+00 9.994248890377399608e-01 9.700546488597112660e-01 1.001640870072946887e+00 1.015349310102425573e+00 1.001989870128187521e+00
1.615725497308492109e+01 9.982482596285146004e-01 1.002787804183655540e+00 9.999698340897088533e-01 9.994754244087740158e-01 9.704181559023452586e-01 1.001685143404343226e+00 1.015228286491814957e+00 1.001909177980254473e+00
1.617439452297675828e+01 9.982875386883753865e-01 1.002842188352886854e+00 9.999929114720408352e-01 9.994547180542813214e-01 9.707800389351943782e-01 1.001729821895374073e+00 1.014971017609263448e+00 1.001920460657164558e+00
1.619517277648195730e+01 9.983040574519540522e-01 1.002734289665699663e+00 9.999852964168557401e-01 9.995330294262398940e-01 9.712127087232416134e-01 1.001702109865432622e+00 1.014719581739191856e+00 1.001797328942523269e+00
1.622043957737168896e+01 9.982389219921197210e-01 1.002724086813131077e+00 9.998930242175568806e-01 9.995108845235948225e-01 9.717732246682482256e-01 1.001756119000013490e+00 1.014439870509557196e+00 1.001750618305663476e+00
1.624955847423615651e+01 9.983395999509864227e-01 1.002665494575460059e+00 9.998484769554703000e-01 9.996175452570899012e-01 9.724554387803432398e-01 1.001730268845399507e+00 1.014257428917356929e+00 1.001691390545626614e+00
1.628347658998770342e+01 9.983750316391821755e-01 1.002648972547188766e+00 9.998569606104698027e-01 9.996211554929878007e-01 9.731986770292114786e-01 1.001780021127791853e+00 1.013948746730894079e+00 1.001577086691435525e+00
1.632333030251590955e+01 9.983809616241030582e-01 1.002629674833552809e+00 9.997810034384952971e-01 9.997260919219181918e-01 9.739843538381969257e-01 1.001825356352091134e+00 1.013461182718690567e+00 1.001384302637106538e+00
1.637098245479133851e+01 9.984136583218785610e-01 1.002493174629760286e+00 9.997473180293443562e-01 9.997530281470154989e-01 9.749819603340461605e-01 1.001872904737490133e+00 1.013045602517283816e+00 1.001353681540240403e+00
1.642438691344985457e+01 9.984910532593032073e-01 1.002450876289679993e+00 9.996900890060484990e-01 9.997027704848344687e-01 9.760064502078895643e-01 1.001693254296267543e+00 1.012498834787150859e+00 1.001124614172713922e+00
1.648247347179118094e+01 9.984611638701006431e-01 1.002317056243721138e+00 9.997107293758420443e-01 9.998079528646464098e-01 9.771690912065991164e-01 1.001866228670404979e+00 1.011994279677595809e+00 1.001114614315958384e+00
1.654807940257194332e+01 9.985886080822434785e-01 1.002189253857104223e+00 9.996798351255943293e-01 9.998670423088350523e-01 9.784530342285520099e-01 1.001833105842728777e+00 1.011500257869728081e+00 1.001016960964643321e+00
1.662266328126332482e+01 9.985950985295375393e-01 1.002088297178115095e+00 9.996369158910252128e-01 9.998697850800282172e-01 9.798141894083971515e-01 1.001810900001463889e+00 1.010811385335042667e+00 1.000893785927006174e+00
1.669995459238688795e+01 9.987029021135426232e-01 1.001976155577733119e+00 9.995910641269558639e-01 9.999327689792179008e-01 9.812265671352251584e-01 1.001751924176475406e+00 1.010201480307802990e+00 1.000813809714986569e+00
1.678721128510175120e+01 9.987302493601364350e-01 1.001808936400725880e+00 9.996429792520086233e-01 9.999956576980987277e-01 9.827697901761417443e-01 1.001745439639672552e+00 1.009488724920785785e+00 1.000785652455658425e+00
1.688166598584457745e+01 9.988859106661911458e-01 1.001626739547381906e+00 9.997173306079045751e-01 9.999904594189488183e-01 9.843778998241627942e-01 1.001601699419700342e+00 1.008739963117012195e+00 1.000642947591117160e+00
1.697507811592544158e+01 9.989197020866051879e-01 1.001507042210559195e+00 9.996433381451859113e-01 1.000032748003343519e+00 9.859311905746734883e-01 1.001458712438423770e+00 1.007965812585081888e+00 1.000560889087467764e+00
1.707232538676719713e+01 9.990428989272629456e-01 1.001339701834693230e+00 9.996775501295572797e-01 1.000043021754210226e+00 9.875791823987606355e-01 1.001372869112393094e+00 1.007276899383890534e+00 1.000532735627481795e+00
1.717016076948434744e+01 9.991725448038120128e-01 1.001108063333352227e+00 9.996718595921909589e-01 1.000055896844796344e+00 9.891111936231185009e-01 1.001220867286374272e+00 1.006431923880358514e+00 1.000447293645099434e+00
1.726903229118852678e+01 9.992573951244748676e-01 1.000973993180138688e+00 9.997100336438249357e-01 1.000070865419798949e+00 9.906519260182164999e-01 1.001019644930850161e+00 1.005581987927846921e+00 1.000299404195618580e+00
1.735706090835376258e+01 9.993740622830300513e-01 1.000828153308703561e+00 9.997893909490845887e-01 1.000029380230991194e+00 9.920174898343466774e-01 1.000947983795963392e+00 1.004806593155909145e+00 1.000309915057956411e+00
1.744295922134373100e+01 9.994964415255738199e-01 1.000684804873445799e+00 9.998295956660336881e-01 1.000071778692833924e+00 9.933465446001157328e-01 1.000798110938891039e+00 1.004057684548814500e+00 1.000275566994588861e+00
1.751524386194120808e+01 9.995357300098265396e-01 1.000527781389841442e+00 9.998242467453862803e-01 1.000040919549607610e+00 9.944936466879472636e-01 1.000663803350542391e+00 1.003462887028857331e+00 1.000233461580714689e+00
1.757962060371826141e+01 9.996252578210494955e-01 1.000521391510717173e+00 9.997898421332148677e-01 1.000044747626470887e+00 9.954659560641652138e-01 1.000562944481157457e+00 1.002821574067284782e+00 1.000165662211940809e+00
1.763521174504975519e+01 9.996710202044383209e-01 1.000378894432061294e+00 9.998464651095602118e-01 1.000019308400549534e+00 9.963358946925848780e-01 1.000458013780086697e+00 1.002329482832251095e+00 1.000129661337832543e+00
1.768210901744579644e+01 9.997342233112764820e-01 1.000347846807639662e+00 9.998941070377267426e-01 1.000004667816274395e+00 9.970522363358004236e-01 1.000346948661480884e+00 1.001866322489750161e+00 1.000123482995153523e+00
1.771847838864452029e+01 9.998231515546225356e-01 1.000252380654850004e+00 9.999238214319835505e-01 1.000029857423762714e+00 9.976293498849184704e-01 1.000291981314369361e+00 1.001545405805173594e+00 1.000074452002878367e+00
1.774852130565324870e+01 9.998318217906798644e-01 1.000184144316452972e+00 9.999125292439601242e-01 1.000020044772653938e+00 9.980753209604276144e-01 1.000241401557896204e+00 1.001213090607989020e+00 1.000075849355597679e+00
1.777248293557931902e+01 9.998732503212135470e-01 1.000163763132263295e+00 9.999426861296877300e-01 1.000025070217376744e+00 9.984620389034194465e-01 1.000176013164687516e+00 1.000998519488474514e+00 1.000063425559802877e+00
1.779439757070279526e+01 9.998981086975945454e-01 1.000138308868272263e+00 9.999672119385595304e-01 1.000018184628646001e+00 9.988153271853171811e-01 1.000137147294424711e+00 1.000794600228458453e+00 1.000035323202985271e+00
1.781005913115313888e+01 9.999175341381567605e-01 1.000080100485875256e+00 9.999581991397812342e-01 1.000012851629494826e+00 9.990545486752738791e-01 1.000127538551771167e+00 1.000626422606477606e+00 1.000041076358343162e+00
1.782181585109222866e+01 9.999403011985444900e-01 1.000084845647639664e+00 9.999788268553556625e-01 1.000015438661544298e+00 9.992303702275873167e-01 1.000094957212779301e+00 1.000493616016555176e+00 1.000029840041618101e+00
1.791683618065999894e+01 1.000063009988673368e+00 9.999252627449430886e-01 1.000038109551750765e+00 9.999844470938056284e-01 1.000743281437192378e+00 9.999037088268960538e-01 9.995221197874168961e-01 9.999817992395201305e-01
1.792854547212733252e+01 1.000065030860482373e+00 9.999234978812435726e-01 1.000027728346593703e+00 9.999779748667929624e-01 1.000917447510401681e+00 9.998644412615587118e-01 9.993767081879998404e-01 9.999613326377823075e-01
1.794250272513307110e+01 1.000099075029353024e+00 9.998852293883018216e-01 1.000029086407491663e+00 9.999556981002322154e-01 1.001139712174355045e+00 9.998382582319386147e-01 9.992287922862994609e-01 9.999694712101405702e-01
1.796113591350072625e+01 1.000132308210333276e+00 9.998470182063059486e-01 1.000053930322111873e+00 9.999971001369338808e-01 1.001435975445481130e+00 9.998173580629032831e-01 9.990234426653666899e-01 9.999409457098822340e-01
1.798337988877280935e+01 1.000136227199315053e+00 9.998057670036988309e-01 1.000053108231863108e+00 9.999572190541375916e-01 1.001805907034387655e+00 9.997710696504820138e-01 9.987966945673742991e-01 9.999137863504135026e-01
1.800824748161006994e+01 1.000189571753225870e+00 9.997709158036410804e-01 1.000099376880517976e+00 9.999703792422010018e-01 1.002192314765327330e+00 9.997156965866718092e-01 9.984999508540040036e-01 9.999298337971087580e-01
1.803881355404321241e+01 1.000246100923308123e+00 9.996970592387390830e-01 1.000063609098610584e+00 9.999712876282115248e-01 1.002710905050406609e+00 9.996788681282834377e-01 9.981868941564757680e-01 9.998981888470491741e-01
1.807629122230133589e+01 1.000308579962241762e+00 9.996667049390066673e-01 1.000148181153129645e+00 9.999362511922536001e-01 1.003326643800227513e+00 9.995847985477691600e-01 9.977652884962546764e-01 9.998559477220416714e-01
1.811708817156144136e+01 1.000308061194323361e+00 9.995865472625875547e-01 1.000116155734056766e+00 9.999214964480092060e-01 1.003986867538259276e+00 9.995124908633210570e-01 9.972575218111794371e-01 9.998081579291250298e-01
1.816507486859924114e+01 1.000395076560042229e+00 9.994913285146547199e-01 1.000220325399450161e+00 9.999481245653754069e-01 1.004803089111927505e+00 9.994048876119407954e-01 9.967119207406646142e-01 9.997468121820805020e-01
1.822004717695455156e+01 1.000529011564459392e+00 9.994205479631045330e-01 1.000288331078026616e+00 9.998724843563218112e-01 1.005701116169000153e+00 9.993127156201521144e-01 9.959804582945841478e-01 9.997778774750716302e-01
