A = CPEB4_D4, rgA = 50.121 ; B = CPEB4_alpha, rgB = 51.383 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -1.795 0.736 0.736 56.080 57.875 
0.750 70.000 -1.729 0.772 0.766 54.500 56.229 
0.750 60.000 -1.654 0.701 0.667 52.181 53.835 
0.750 50.000 -1.649 0.433 0.368 48.860 50.509 
0.750 40.000 -1.844 0.106 0.072 44.595 46.440 
0.775 80.000 -1.496 0.918 0.918 53.229 54.725 
0.775 70.000 -1.443 0.919 0.911 51.580 53.023 
0.775 60.000 -1.415 0.767 0.728 49.263 50.678 
0.775 50.000 -1.506 0.412 0.353 46.126 47.631 
0.775 40.000 -1.786 0.083 0.059 42.273 44.059 
0.800 80.000 -1.266 1.000 1.000 50.118 51.384 
0.800 70.000 -1.243 0.939 0.930 48.466 49.708 
0.800 60.000 -1.281 0.708 0.673 46.250 47.531 
0.800 50.000 -1.478 0.329 0.286 43.400 44.878 
0.800 40.000 -1.848 0.055 0.043 40.008 41.855 
0.825 80.000 -1.122 0.901 0.902 46.835 47.956 
0.825 70.000 -1.142 0.784 0.777 45.263 46.406 
0.825 60.000 -1.252 0.530 0.508 43.253 44.505 
0.825 50.000 -1.540 0.214 0.194 40.774 42.314 
0.825 40.000 -1.920 0.031 0.027 37.918 39.838 
0.850 80.000 -1.072 0.635 0.641 43.532 44.603 
0.850 70.000 -1.138 0.509 0.511 42.128 43.266 
0.850 60.000 -1.303 0.311 0.305 40.405 41.708 
0.850 50.000 -1.628 0.112 0.109 38.363 39.990 
0.850 40.000 -1.907 0.015 0.015 36.126 38.033
0.875 80.000 -1.095 0.336 0.345 40.412 41.507 
0.875 70.000 -1.194 0.250 0.257 39.234 40.429 
0.875 60.000 -1.376 0.141 0.145 37.844 39.219 
0.875 50.000 -1.669 0.049 0.051 36.273 37.942 
0.875 40.000 -1.802 0.007 0.008 34.675 36.477 
0.900 80.000 -1.158 0.132 0.139 37.659 38.818 
0.900 70.000 -1.266 0.093 0.099 36.719 37.985 
0.900 60.000 -1.418 0.051 0.054 35.658 37.076 
0.900 50.000 -1.627 0.019 0.020 34.540 36.167 
0.900 40.000 -1.657 0.004 0.004 33.509 35.166 
