A = CPEB4_D4, rgA = 37.147 ; B = CPEB4, rgB = 39.289 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -2.696 0.437 0.452 45.172 47.868 
0.750 70.000 -2.815 0.472 0.476 44.236 47.051 
0.750 60.000 -2.940 0.468 0.453 42.916 45.856 
0.750 50.000 -3.022 0.375 0.329 41.063 44.085 
0.750 40.000 -3.011 0.175 0.118 38.531 41.542 
0.775 80.000 -2.488 0.795 0.798 41.075 43.564 
0.775 70.000 -2.537 0.810 0.805 40.256 42.793 
0.775 60.000 -2.560 0.734 0.712 39.140 41.700 
0.775 50.000 -2.509 0.511 0.461 37.623 40.132 
0.775 40.000 -2.368 0.194 0.143 35.608 37.976
0.800 80.000 -2.149 0.999 0.999 37.233 39.381 
0.800 70.000 -2.143 0.957 0.954 36.577 38.719 
0.800 60.000 -2.098 0.791 0.774 35.705 37.803 
0.800 50.000 -1.992 0.483 0.444 34.547 36.539 
0.800 40.000 -1.882 0.153 0.120 33.047 34.929 
0.825 80.000 -1.717 0.802 0.797 33.971 35.688 
0.825 70.000 -1.683 0.724 0.721 33.484 35.167 
0.825 60.000 -1.619 0.552 0.542 32.847 34.467 
0.825 50.000 -1.526 0.301 0.282 32.013 33.539 
0.825 40.000 -1.487 0.084 0.073 30.956 32.442 
0.850 80.000 -1.257 0.410 0.390 31.466 32.724 
0.850 70.000 -1.220 0.354 0.339 31.125 32.346 
0.850 60.000 -1.171 0.254 0.243 30.683 31.854 
0.850 50.000 -1.116 0.127 0.121 30.109 31.225 
0.850 40.000 -1.117 0.033 0.033 29.394 30.511 
0.875 80.000 -0.802 0.146 0.114 29.705 30.506 
0.875 70.000 -0.775 0.125 0.100 29.483 30.258 
0.875 60.000 -0.744 0.088 0.072 29.198 29.943 
0.875 50.000 -0.707 0.043 0.037 28.829 29.535 
0.875 40.000 -0.695 0.012 0.011 28.369 29.064 
0.900 80.000 -0.420 0.041 0.016 28.553 28.973 
0.900 70.000 -0.402 0.037 0.016 28.429 28.831 
0.900 60.000 -0.364 0.027 0.014 28.269 28.634 
0.900 50.000 -0.285 0.015 0.009 28.056 28.341 
0.900 40.000 -0.211 0.005 0.003 27.770 27.982 
