A = CPEB4_D4, rgA = 44.898 ; B = CPEB4, rgB = 46.107 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -1.052 0.033 0.036 63.680 64.733 
0.600 70.000 -1.093 0.037 0.039 63.048 64.141 
0.600 60.000 -1.223 0.040 0.042 61.990 63.213 
0.600 50.000 -1.494 0.039 0.039 60.160 61.654 
0.600 40.000 -1.707 0.028 0.025 57.036 58.743 
0.625 80.000 -1.112 0.075 0.079 61.174 62.287 
0.625 70.000 -1.190 0.082 0.085 60.516 61.706 
0.625 60.000 -1.328 0.087 0.088 59.456 60.784 
0.625 50.000 -1.547 0.082 0.079 57.674 59.220 
0.625 40.000 -1.668 0.056 0.047 54.612 56.280
0.650 80.000 -1.114 0.157 0.165 58.547 59.661 
0.650 70.000 -1.215 0.171 0.176 57.846 59.061 
0.650 60.000 -1.368 0.179 0.177 56.740 58.108 
0.650 50.000 -1.587 0.163 0.151 54.909 56.496 
0.650 40.000 -1.690 0.102 0.080 51.771 53.461 
0.675 80.000 -1.088 0.309 0.320 55.703 56.791 
0.675 70.000 -1.213 0.332 0.336 54.937 56.149 
0.675 60.000 -1.394 0.337 0.330 53.748 55.142 
0.675 50.000 -1.641 0.292 0.266 51.818 53.459 
0.675 40.000 -1.716 0.159 0.121 48.616 50.332 
0.700 80.000 -1.074 0.551 0.562 52.530 53.604 
0.700 70.000 -1.225 0.579 0.580 51.690 52.915 
0.700 60.000 -1.437 0.563 0.547 50.414 51.851 
0.700 50.000 -1.699 0.447 0.406 48.412 50.111 
0.700 40.000 -1.709 0.205 0.153 45.273 46.982 
0.725 80.000 -1.110 0.840 0.846 48.950 50.060 
0.725 70.000 -1.283 0.852 0.848 48.052 49.335 
0.725 60.000 -1.505 0.777 0.755 46.732 48.238 
0.725 50.000 -1.740 0.549 0.504 44.755 46.496 
0.725 40.000 -1.697 0.206 0.153 41.834 43.531 
0.750 80.000 -1.204 0.999 0.999 44.988 46.192 
0.750 70.000 -1.376 0.961 0.959 44.084 45.460 
0.750 60.000 -1.570 0.804 0.792 42.808 44.378 
0.750 50.000 -1.734 0.495 0.464 40.990 42.724 
0.750 40.000 -1.675 0.150 0.114 38.440 40.115 
