A = CPEB4_D4, rgA = 45.727 ; B = CPEB4_alpha, rgB = 47.820 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -1.190 0.056 0.065 63.305 64.495 
0.600 70.000 -1.195 0.063 0.071 62.516 63.711 
0.600 60.000 -1.273 0.069 0.074 61.274 62.547 
0.600 50.000 -1.341 0.068 0.067 59.325 60.666 
0.600 40.000 -0.837 0.045 0.040 56.385 57.222 
0.625 80.000 -1.249 0.107 0.122 61.302 62.551 
0.625 70.000 -1.280 0.120 0.133 60.433 61.713 
0.625 60.000 -1.367 0.130 0.138 59.075 60.442 
0.625 50.000 -1.444 0.122 0.121 56.932 58.376 
0.625 40.000 -1.193 0.072 0.062 53.599 54.792 
0.650 80.000 -1.345 0.202 0.222 58.940 60.285 
0.650 70.000 -1.410 0.224 0.242 57.978 59.387 
0.650 60.000 -1.530 0.236 0.246 56.491 58.021 
0.650 50.000 -1.675 0.209 0.202 54.167 55.842 
0.650 40.000 -1.740 0.106 0.086 50.576 52.316 
0.675 80.000 -1.479 0.363 0.387 56.207 57.686 
0.675 70.000 -1.584 0.396 0.415 55.148 56.732 
0.675 60.000 -1.750 0.401 0.405 53.547 55.296 
0.675 50.000 -1.981 0.326 0.304 51.101 53.081 
0.675 40.000 -2.309 0.140 0.110 47.432 49.741 
0.700 80.000 -1.653 0.598 0.619 53.100 54.753 
0.700 70.000 -1.793 0.634 0.646 51.961 53.754 
0.700 60.000 -1.999 0.607 0.598 50.288 52.287 
0.700 50.000 -2.292 0.442 0.404 47.817 50.109 
0.700 40.000 -2.779 0.156 0.124 44.236 47.015 
0.725 80.000 -1.861 0.860 0.868 49.638 51.499 
0.725 70.000 -2.023 0.872 0.871 48.459 50.482 
0.725 60.000 -2.245 0.772 0.750 46.784 49.028 
0.725 50.000 -2.550 0.492 0.450 44.403 46.953 
0.725 40.000 -3.093 0.139 0.116 41.052 44.145 
0.750 80.000 -2.082 0.999 0.999 45.889 47.972 
0.750 70.000 -2.241 0.953 0.950 44.735 46.977 
0.750 60.000 -2.443 0.766 0.751 43.152 45.595 
0.750 50.000 -2.705 0.421 0.394 40.989 43.695 
0.750 40.000 -3.207 0.097 0.084 38.040 41.247
