A = CPEB4_D4, rgA = 28.535 ; B = CPEB4, rgB = 29.263 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -0.835 0.062 0.060 36.185 37.020 
0.900 70.000 -0.832 0.070 0.067 35.807 36.639 
0.900 60.000 -0.910 0.075 0.070 35.233 36.143 
0.900 50.000 -1.135 0.069 0.062 34.348 35.483 
0.900 40.000 -1.605 0.043 0.037 32.941 34.546 
0.925 80.000 -0.948 0.213 0.209 33.591 34.538 
0.925 70.000 -0.980 0.231 0.223 33.218 34.199 
0.925 60.000 -1.060 0.232 0.218 32.698 33.758 
0.925 50.000 -1.199 0.193 0.173 31.967 33.166 
0.925 40.000 -1.377 0.098 0.085 30.943 32.320 
0.950 80.000 -0.949 0.523 0.515 31.385 32.334 
0.950 70.000 -0.958 0.541 0.529 31.087 32.045 
0.950 60.000 -0.980 0.506 0.485 30.690 31.670 
0.950 50.000 -1.012 0.378 0.350 30.157 31.169 
0.950 40.000 -1.020 0.165 0.147 29.447 30.467 
0.975 80.000 -0.850 0.868 0.864 29.696 30.545 
0.975 70.000 -0.837 0.861 0.853 29.473 30.310 
0.975 60.000 -0.821 0.758 0.741 29.184 30.005 
0.975 50.000 -0.799 0.521 0.493 28.803 29.602 
0.975 40.000 -0.744 0.206 0.183 28.304 29.048 
1.000 80.000 -0.714 0.998 0.998 28.441 29.155 
1.000 70.000 -0.692 0.955 0.952 28.274 28.966 
1.000 60.000 -0.665 0.802 0.788 28.057 28.722 
1.000 50.000 -0.627 0.518 0.490 27.775 28.402 
1.000 40.000 -0.553 0.190 0.162 27.416 27.969
1.025 80.000 -0.584 0.826 0.818 27.493 28.077 
1.025 70.000 -0.561 0.768 0.759 27.361 27.922 
1.025 60.000 -0.532 0.620 0.604 27.192 27.724 
1.025 50.000 -0.494 0.381 0.353 26.973 27.467 
1.025 40.000 -0.423 0.134 0.105 26.710 27.133 
1.050 80.000 -0.478 0.510 0.494 26.748 27.226 
1.050 70.000 -0.455 0.463 0.447 26.641 27.095 
1.050 60.000 -0.426 0.363 0.343 26.503 26.929 
1.050 50.000 -0.389 0.215 0.192 26.328 26.717 
1.050 40.000 -0.337 0.075 0.055 26.135 26.471 
1.075 80.000 -0.393 0.245 0.228 26.149 26.542 
1.075 70.000 -0.364 0.219 0.201 26.059 26.423 
1.075 60.000 -0.330 0.168 0.150 25.944 26.275 
1.075 50.000 -0.292 0.097 0.082 25.802 26.094 
1.075 40.000 -0.258 0.035 0.025 25.663 25.922 
1.100 80.000 -0.312 0.099 0.086 25.672 25.984 
1.100 70.000 -0.271 0.087 0.073 25.595 25.866 
1.100 60.000 -0.227 0.066 0.053 25.496 25.723 
1.100 50.000 -0.180 0.038 0.029 25.379 25.559 
1.100 40.000 -0.148 0.014 0.010 25.287 25.436 
