A = CPEB4_D4, rgA = 49.457 ; B = CPEB4, rgB = 51.363 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -1.480 0.696 0.710 55.618 57.097 
0.750 70.000 -1.646 0.713 0.718 54.879 56.525 
0.750 60.000 -1.866 0.686 0.673 53.737 55.603 
0.750 50.000 -2.163 0.555 0.515 51.887 54.051 
0.750 40.000 -2.535 0.275 0.225 48.795 51.330 
0.775 80.000 -1.689 0.910 0.915 52.582 54.271 
0.775 70.000 -1.860 0.911 0.909 51.796 53.656 
0.775 60.000 -2.085 0.838 0.821 50.603 52.688 
0.775 50.000 -2.384 0.623 0.585 48.722 51.105 
0.775 40.000 -2.737 0.265 0.220 45.676 48.413 
0.800 80.000 -1.922 0.999 0.999 49.227 51.149 
0.800 70.000 -2.096 0.966 0.965 48.410 50.506 
0.800 60.000 -2.324 0.836 0.829 47.194 49.518 
0.800 50.000 -2.622 0.560 0.539 45.322 47.943 
0.800 40.000 -2.914 0.198 0.166 42.369 45.283 
0.825 80.000 -2.162 0.853 0.862 45.605 47.766 
0.825 70.000 -2.345 0.786 0.803 44.776 47.121 
0.825 60.000 -2.583 0.629 0.647 43.564 46.147 
0.825 50.000 -2.873 0.368 0.373 41.733 44.606 
0.825 40.000 -2.967 0.103 0.086 38.914 41.881 
0.850 80.000 -2.399 0.518 0.547 41.852 44.251 
0.850 70.000 -2.604 0.447 0.488 41.027 43.632 
0.850 60.000 -2.857 0.320 0.363 39.840 42.696 
0.850 50.000 -3.073 0.156 0.176 38.086 41.160 
0.850 40.000 -2.623 0.034 0.026 35.521 38.144 
0.875 80.000 -2.626 0.208 0.247 38.220 40.845 
0.875 70.000 -2.845 0.164 0.209 37.420 40.265 
0.875 60.000 -3.057 0.103 0.140 36.307 39.364 
0.875 50.000 -3.009 0.042 0.053 34.746 37.755
0.875 40.000 -1.743 0.008 0.004 32.689 34.432 
0.900 80.000 -2.759 0.058 0.085 35.079 37.838 
0.900 70.000 -2.927 0.042 0.067 34.363 37.290 
0.900 60.000 -2.977 0.024 0.040 33.429 36.406 
0.900 50.000 -2.503 0.009 0.011 32.226 34.728 
0.900 40.000 -0.756 0.002 0.001 30.805 31.562 
