A = CPEB4_D4, rgA = 38.939 ; B = CPEB4_alpha, rgB = 40.386 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -0.559 0.492 0.521 47.065 47.624 
0.750 70.000 -0.840 0.538 0.554 45.802 46.641 
0.750 60.000 -1.194 0.528 0.516 44.069 45.263 
0.750 50.000 -1.597 0.387 0.345 41.755 43.353 
0.750 40.000 -1.922 0.138 0.105 38.895 40.817 
0.775 80.000 -1.162 0.817 0.828 42.943 44.105 
0.775 70.000 -1.338 0.837 0.835 41.832 43.170 
0.775 60.000 -1.551 0.740 0.713 40.357 41.907 
0.775 50.000 -1.781 0.467 0.419 38.449 40.230 
0.775 40.000 -1.947 0.138 0.107 36.175 38.122 
0.800 80.000 -1.435 0.999 0.999 39.109 40.544 
0.800 70.000 -1.528 0.950 0.945 38.193 39.721 
0.800 60.000 -1.631 0.755 0.736 37.011 38.643 
0.800 50.000 -1.730 0.413 0.381 35.528 37.258 
0.800 40.000 -1.782 0.103 0.085 33.808 35.591 
0.825 80.000 -1.443 0.835 0.838 35.752 37.195 
0.825 70.000 -1.473 0.740 0.744 35.053 36.525 
0.825 60.000 -1.495 0.537 0.532 34.174 35.669 
0.825 50.000 -1.494 0.262 0.248 33.098 34.592 
0.825 40.000 -1.418 0.059 0.050 31.888 33.306 
0.850 80.000 -1.249 0.462 0.462 33.011 34.260 
0.850 70.000 -1.237 0.390 0.390 32.518 33.755 
0.850 60.000 -1.208 0.267 0.263 31.913 33.121 
0.850 50.000 -1.125 0.124 0.115 31.201 32.326 
0.850 40.000 -0.912 0.028 0.022 30.450 31.361 
0.875 80.000 -0.937 0.171 0.163 30.882 31.819 
0.875 70.000 -0.903 0.142 0.135 30.566 31.469 
0.875 60.000 -0.845 0.096 0.090 30.187 31.031 
0.875 50.000 -0.692 0.046 0.039 29.779 30.472 
0.875 40.000 -0.375 0.012 0.008 29.429 29.804 
0.900 80.000 -0.576 0.045 0.037 29.275 29.851 
0.900 70.000 -0.520 0.038 0.031 29.108 29.627 
0.900 60.000 -0.434 0.027 0.022 28.906 29.341 
0.900 50.000 -0.222 0.014 0.011 28.742 28.963 
0.900 40.000 0.163 0.005 0.003 28.731 28.568 
