A = 7D_CPEB4, rgA = 51.915 ; B = CPEB4_alpha, rgB = 51.383 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 0.135 0.749 0.736 58.010 57.875 
0.750 70.000 0.243 0.777 0.766 56.471 56.229 
0.750 60.000 0.328 0.683 0.667 54.163 53.835 
0.750 50.000 0.197 0.390 0.368 50.707 50.509 
0.750 40.000 -0.611 0.076 0.072 45.828 46.440 
0.775 80.000 0.346 0.923 0.918 55.071 54.725 
0.775 70.000 0.405 0.916 0.911 53.428 53.023 
0.775 60.000 0.394 0.741 0.728 51.072 50.678 
0.775 50.000 0.136 0.365 0.353 47.767 47.631 
0.775 40.000 -0.596 0.057 0.059 43.463 44.059 
0.800 80.000 0.530 1.000 1.000 51.914 51.384 
0.800 70.000 0.521 0.933 0.930 50.230 49.708 
0.800 60.000 0.406 0.681 0.673 47.937 47.531 
0.800 50.000 0.066 0.288 0.286 44.944 44.878 
0.800 40.000 -0.503 0.038 0.043 41.353 41.855 
0.825 80.000 0.652 0.905 0.902 48.609 47.956 
0.825 70.000 0.568 0.782 0.777 46.974 46.406 
0.825 60.000 0.374 0.510 0.508 44.879 44.505 
0.825 50.000 0.022 0.189 0.194 42.336 42.314 
0.825 40.000 -0.309 0.023 0.027 39.529 39.838 
