A = 7D_CPEB4, rgA = 58.275 ; B = CPEB4_alpha, rgB = 56.832 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 1.315 0.252 0.234 71.013 69.698 
0.600 70.000 1.469 0.267 0.251 70.295 68.826 
0.600 60.000 1.727 0.261 0.250 69.019 67.292 
0.600 50.000 2.081 0.202 0.193 66.495 64.413 
0.600 40.000 2.512 0.077 0.059 61.124 58.611 
0.625 80.000 1.561 0.356 0.339 69.512 67.951 
0.625 70.000 1.675 0.375 0.362 68.660 66.984 
0.625 60.000 1.856 0.361 0.352 67.175 65.319 
0.625 50.000 2.033 0.267 0.254 64.330 62.297 
0.625 40.000 2.427 0.087 0.058 58.665 56.238 
0.650 80.000 1.704 0.487 0.473 67.808 66.104 
0.650 70.000 1.779 0.510 0.500 66.804 65.026 
0.650 60.000 1.875 0.480 0.472 65.090 63.215 
0.650 50.000 1.864 0.333 0.315 61.924 60.060 
0.650 40.000 2.325 0.090 0.050 56.083 53.757 
0.675 80.000 1.762 0.642 0.633 65.867 64.104 
0.675 70.000 1.791 0.664 0.659 64.695 62.905 
0.675 60.000 1.789 0.606 0.597 62.738 60.950 
0.675 50.000 1.583 0.387 0.362 59.277 57.693 
0.675 40.000 2.169 0.086 0.038 53.425 51.256
0.700 80.000 1.742 0.805 0.800 63.652 61.911 
0.700 70.000 1.711 0.817 0.813 62.300 60.588 
0.700 60.000 1.594 0.713 0.700 60.101 58.507 
0.700 50.000 1.210 0.409 0.379 56.411 55.201 
0.700 40.000 1.926 0.074 0.026 50.744 48.818 
0.725 80.000 1.637 0.941 0.940 61.129 59.492 
0.725 70.000 1.534 0.927 0.924 59.592 58.058 
0.725 60.000 1.292 0.758 0.742 57.178 55.886 
0.725 50.000 0.777 0.381 0.351 53.371 52.594 
0.725 40.000 1.656 0.056 0.017 48.093 46.437 
0.750 80.000 1.439 1.000 0.999 58.273 56.833 
0.750 70.000 1.252 0.941 0.937 56.566 55.314 
0.750 60.000 0.893 0.704 0.691 53.998 53.105 
0.750 50.000 0.348 0.301 0.279 50.228 49.880 
0.750 40.000 1.552 0.036 0.010 45.545 43.993 
