A = 7D_CPEB4, rgA = 68.355 ; B = CPEB4_alpha, rgB = 67.326 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 1.154 0.629 0.625 73.309 72.155 
0.500 70.000 1.149 0.630 0.624 73.101 71.952 
0.500 60.000 1.153 0.602 0.593 72.750 71.597 
0.500 50.000 1.173 0.508 0.495 72.101 70.929 
0.500 40.000 1.180 0.298 0.279 70.677 69.498 
0.525 80.000 1.124 0.760 0.757 72.213 71.088 
0.525 70.000 1.117 0.759 0.754 71.984 70.867 
0.525 60.000 1.116 0.720 0.711 71.597 70.481 
0.525 50.000 1.126 0.599 0.584 70.881 69.755 
0.525 40.000 1.115 0.336 0.313 69.307 68.192 
0.550 80.000 1.094 0.880 0.878 71.021 69.927 
0.550 70.000 1.082 0.876 0.871 70.765 69.683 
0.550 60.000 1.073 0.823 0.815 70.333 69.260 
0.550 50.000 1.068 0.671 0.654 69.533 68.465 
0.550 40.000 1.031 0.358 0.329 67.786 66.755 
0.575 80.000 1.061 0.968 0.967 69.717 68.656 
0.575 70.000 1.043 0.957 0.955 69.427 68.384 
0.575 60.000 1.021 0.889 0.882 68.939 67.918 
0.575 50.000 0.992 0.706 0.688 68.037 67.045 
0.575 40.000 0.910 0.354 0.322 66.094 65.184 
0.600 80.000 1.025 0.999 1.000 68.283 67.258 
0.600 70.000 0.995 0.980 0.979 67.951 66.956 
0.600 60.000 0.953 0.896 0.890 67.392 66.440 
0.600 50.000 0.881 0.687 0.670 66.366 65.485 
0.600 40.000 0.719 0.319 0.289 64.198 63.479 
0.625 80.000 0.979 0.954 0.954 66.694 65.715 
0.625 70.000 0.929 0.925 0.925 66.307 65.378 
0.625 60.000 0.850 0.827 0.823 65.660 64.810 
0.625 50.000 0.701 0.605 0.594 64.476 63.775 
0.625 40.000 0.378 0.253 0.235 62.034 61.656 
0.650 80.000 0.909 0.827 0.823 64.915 64.006 
0.650 70.000 0.825 0.788 0.788 64.458 63.633 
0.650 60.000 0.677 0.681 0.684 63.694 63.017 
0.650 50.000 0.378 0.466 0.472 62.298 61.920 
0.650 40.000 -0.266 0.169 0.171 59.486 59.753 
0.675 80.000 0.783 0.633 0.627 62.896 62.113 
0.675 70.000 0.636 0.587 0.590 62.344 61.708 
0.675 60.000 0.359 0.483 0.499 61.416 61.057 
0.675 50.000 -0.219 0.297 0.329 59.719 59.938 
0.675 40.000 -1.428 0.088 0.113 56.395 57.823 
0.700 80.000 0.544 0.413 0.409 60.571 60.027 
0.700 70.000 0.283 0.368 0.378 59.885 59.601 
0.700 60.000 -0.220 0.279 0.311 58.725 58.945 
0.700 50.000 -1.255 0.147 0.200 56.617 57.871 
0.700 40.000 -3.230 0.033 0.068 52.704 55.934 
