A = 7D_CPEB4, rgA = 29.347 ; B = CPEB4, rgB = 29.263 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 1.396 0.055 0.060 38.416 37.020 
0.900 70.000 1.179 0.064 0.067 37.818 36.639 
0.900 60.000 0.831 0.070 0.070 36.974 36.143 
0.900 50.000 0.336 0.064 0.062 35.818 35.483 
0.900 40.000 -0.232 0.037 0.037 34.314 34.546 
0.925 80.000 0.475 0.204 0.209 35.014 34.538 
0.925 70.000 0.340 0.224 0.223 34.539 34.199 
0.925 60.000 0.145 0.226 0.218 33.903 33.758 
0.925 50.000 -0.100 0.183 0.173 33.066 33.166 
0.925 40.000 -0.340 0.088 0.085 31.980 32.320 
0.950 80.000 0.093 0.519 0.515 32.427 32.334 
0.950 70.000 0.036 0.538 0.529 32.082 32.045 
0.950 60.000 -0.044 0.503 0.485 31.626 31.670 
0.950 50.000 -0.141 0.368 0.350 31.028 31.169 
0.950 40.000 -0.228 0.153 0.147 30.239 30.467 
0.975 80.000 0.045 0.867 0.864 30.591 30.545 
0.975 70.000 0.024 0.861 0.853 30.334 30.310 
0.975 60.000 -0.008 0.756 0.741 29.998 30.005 
0.975 50.000 -0.047 0.509 0.493 29.554 29.602 
0.975 40.000 -0.090 0.186 0.183 28.958 29.048
1.000 80.000 0.087 0.998 0.998 29.242 29.155 
1.000 70.000 0.077 0.955 0.952 29.042 28.966 
1.000 60.000 0.061 0.797 0.788 28.783 28.722 
1.000 50.000 0.040 0.501 0.490 28.442 28.402 
1.000 40.000 0.008 0.166 0.162 27.977 27.969 
1.025 80.000 0.119 0.822 0.818 28.196 28.077 
1.025 70.000 0.115 0.763 0.759 28.037 27.922 
1.025 60.000 0.108 0.611 0.604 27.832 27.724 
1.025 50.000 0.098 0.363 0.353 27.565 27.467 
1.025 40.000 0.068 0.112 0.105 27.201 27.133 
1.050 80.000 0.128 0.500 0.494 27.354 27.226 
1.050 70.000 0.131 0.452 0.447 27.226 27.095 
1.050 60.000 0.133 0.348 0.343 27.062 26.929 
1.050 50.000 0.134 0.196 0.192 26.851 26.717 
1.050 40.000 0.100 0.057 0.055 26.571 26.471 
1.075 80.000 0.110 0.228 0.228 26.652 26.542 
1.075 70.000 0.123 0.199 0.201 26.547 26.423 
1.075 60.000 0.139 0.143 0.150 26.414 26.275 
1.075 50.000 0.149 0.072 0.082 26.243 26.094 
1.075 40.000 0.110 0.019 0.025 26.032 25.922 
1.100 80.000 0.061 0.077 0.086 26.045 25.984 
1.100 70.000 0.091 0.060 0.073 25.956 25.866 
1.100 60.000 0.122 0.036 0.053 25.845 25.723 
1.100 50.000 0.146 0.014 0.029 25.705 25.559 
1.100 40.000 0.119 0.003 0.010 25.555 25.436 
