A = 7D_CPEB4, rgA = 40.731 ; B = CPEB4_alpha, rgB = 40.386 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 0.806 0.518 0.521 48.429 47.624 
0.750 70.000 0.696 0.555 0.554 47.337 46.641 
0.750 60.000 0.505 0.527 0.516 45.768 45.263 
0.750 50.000 0.162 0.360 0.345 43.514 43.353 
0.750 40.000 -0.393 0.105 0.105 40.424 40.817 
0.775 80.000 0.603 0.825 0.828 44.708 44.105 
0.775 70.000 0.459 0.839 0.835 43.629 43.170 
0.775 60.000 0.244 0.727 0.713 42.151 41.907 
0.775 50.000 -0.079 0.430 0.419 40.151 40.230 
0.775 40.000 -0.545 0.101 0.107 37.578 38.122 
0.800 80.000 0.357 0.999 0.999 40.901 40.544 
0.800 70.000 0.215 0.947 0.945 39.936 39.721 
0.800 60.000 0.029 0.740 0.736 38.672 38.643 
0.800 50.000 -0.217 0.380 0.381 37.041 37.258 
0.800 40.000 -0.552 0.076 0.085 35.039 35.591 
0.825 80.000 0.161 0.837 0.838 37.356 37.195 
0.825 70.000 0.051 0.739 0.744 36.576 36.525 
0.825 60.000 -0.082 0.524 0.532 35.587 35.669 
0.825 50.000 -0.248 0.238 0.248 34.345 34.592 
0.825 40.000 -0.471 0.043 0.050 32.835 33.306 
0.850 80.000 0.096 0.466 0.462 34.356 34.260 
0.850 70.000 0.020 0.388 0.390 33.775 33.755 
0.850 60.000 -0.073 0.255 0.263 33.048 33.121 
0.850 50.000 -0.191 0.105 0.115 32.135 32.326 
0.850 40.000 -0.357 0.018 0.022 31.004 31.361 
0.875 80.000 0.183 0.176 0.163 32.002 31.819 
0.875 70.000 0.121 0.141 0.135 31.590 31.469 
0.875 60.000 0.045 0.088 0.090 31.076 31.031 
0.875 50.000 -0.049 0.035 0.039 30.423 30.472 
0.875 40.000 -0.197 0.006 0.008 29.608 29.804 
0.900 80.000 0.402 0.050 0.037 30.252 29.851 
0.900 70.000 0.349 0.039 0.031 29.977 29.627 
0.900 60.000 0.297 0.024 0.022 29.638 29.341 
0.900 50.000 0.239 0.010 0.011 29.203 28.963 
0.900 40.000 0.095 0.002 0.003 28.663 28.568 
