A = 7D_CPEB4, rgA = 48.414 ; B = CPEB4_alpha, rgB = 47.820 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 0.848 0.072 0.065 65.343 64.495 
0.600 70.000 1.153 0.077 0.071 64.864 63.711 
0.600 60.000 1.474 0.080 0.074 64.021 62.547 
0.600 50.000 1.713 0.073 0.067 62.379 60.666 
0.600 40.000 1.591 0.045 0.040 58.813 57.222 
0.625 80.000 0.993 0.129 0.122 63.544 62.551 
0.625 70.000 1.226 0.140 0.133 62.939 61.713 
0.625 60.000 1.460 0.144 0.138 61.902 60.442 
0.625 50.000 1.588 0.128 0.121 59.964 58.376 
0.625 40.000 1.241 0.070 0.062 56.033 54.792 
0.650 80.000 1.093 0.230 0.222 61.378 60.285 
0.650 70.000 1.248 0.248 0.242 60.635 59.387 
0.650 60.000 1.377 0.252 0.246 59.399 58.021 
0.650 50.000 1.345 0.211 0.202 57.187 55.842 
0.650 40.000 0.677 0.099 0.086 52.993 52.316 
0.675 80.000 1.121 0.392 0.387 58.807 57.686 
0.675 70.000 1.192 0.419 0.415 57.924 56.732 
0.675 60.000 1.202 0.413 0.405 56.498 55.296 
0.675 50.000 0.984 0.320 0.304 54.065 53.081 
0.675 40.000 0.015 0.122 0.110 49.756 49.741 
0.700 80.000 1.057 0.621 0.619 55.809 54.753 
0.700 70.000 1.040 0.649 0.646 54.794 53.754 
0.700 60.000 0.925 0.609 0.598 53.212 52.287 
0.700 50.000 0.535 0.423 0.404 50.644 50.109 
0.700 40.000 -0.568 0.126 0.124 46.446 47.015 
0.725 80.000 0.886 0.868 0.868 52.385 51.499 
0.725 70.000 0.783 0.874 0.871 51.265 50.482 
0.725 60.000 0.560 0.763 0.750 49.588 49.028 
0.725 50.000 0.069 0.463 0.450 47.022 46.953 
0.725 40.000 -0.904 0.109 0.116 43.241 44.145 
0.750 80.000 0.608 0.999 0.999 48.580 47.972 
0.750 70.000 0.439 0.952 0.950 47.416 46.977 
0.750 60.000 0.155 0.756 0.751 45.750 45.595 
0.750 50.000 -0.318 0.394 0.394 43.377 43.695 
0.750 40.000 -0.958 0.080 0.084 40.290 41.247
