A = 7D_CPEB4, rgA = 26.503 ; B = CPEB4_alpha, rgB = 26.460 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -0.495 0.058 0.047 30.198 30.693 
0.900 70.000 -0.411 0.066 0.055 29.991 30.402 
0.900 60.000 -0.330 0.067 0.057 29.685 30.015 
0.900 50.000 -0.284 0.053 0.047 29.229 29.513 
0.900 40.000 -0.252 0.024 0.022 28.506 28.758 
0.925 80.000 -0.179 0.190 0.178 29.116 29.295 
0.925 70.000 -0.168 0.208 0.193 28.919 29.087 
0.925 60.000 -0.163 0.197 0.182 28.654 28.817 
0.925 50.000 -0.160 0.138 0.128 28.288 28.449 
0.925 40.000 -0.114 0.049 0.044 27.741 27.854 
0.950 80.000 -0.037 0.475 0.467 28.115 28.152 
0.950 70.000 -0.053 0.489 0.476 27.948 28.000 
0.950 60.000 -0.067 0.429 0.412 27.735 27.802 
0.950 50.000 -0.072 0.268 0.256 27.454 27.526 
0.950 40.000 -0.038 0.078 0.071 27.054 27.092 
0.975 80.000 0.016 0.823 0.820 27.259 27.243 
0.975 70.000 0.002 0.809 0.800 27.123 27.122 
0.975 60.000 -0.011 0.666 0.653 26.954 26.965 
0.975 50.000 -0.016 0.381 0.370 26.736 26.752 
0.975 40.000 0.003 0.098 0.092 26.449 26.446 
1.000 80.000 0.042 0.998 0.998 26.543 26.501 
1.000 70.000 0.033 0.942 0.940 26.434 26.401 
1.000 60.000 0.023 0.738 0.731 26.297 26.274 
1.000 50.000 0.016 0.395 0.388 26.124 26.108 
1.000 40.000 0.028 0.096 0.091 25.913 25.885 
1.025 80.000 0.056 0.871 0.868 25.939 25.883 
1.025 70.000 0.049 0.795 0.793 25.849 25.800 
1.025 60.000 0.039 0.596 0.593 25.736 25.697 
1.025 50.000 0.027 0.302 0.300 25.593 25.567 
1.025 40.000 0.033 0.071 0.067 25.425 25.392 
1.050 80.000 0.059 0.560 0.555 25.419 25.360 
1.050 70.000 0.051 0.496 0.495 25.342 25.291 
1.050 60.000 0.037 0.356 0.360 25.245 25.208 
1.050 50.000 0.014 0.170 0.176 25.119 25.105 
1.050 40.000 0.004 0.038 0.038 24.969 24.965 
1.075 80.000 0.048 0.269 0.271 24.961 24.913 
1.075 70.000 0.037 0.231 0.238 24.893 24.856 
1.075 60.000 0.015 0.159 0.170 24.805 24.790 
1.075 50.000 -0.023 0.072 0.082 24.689 24.712 
1.075 40.000 -0.062 0.016 0.018 24.548 24.610 
1.100 80.000 0.018 0.096 0.106 24.551 24.533 
1.100 70.000 0.005 0.082 0.093 24.490 24.485 
1.100 60.000 -0.023 0.055 0.067 24.412 24.435 
1.100 50.000 -0.076 0.024 0.033 24.307 24.383 
1.100 40.000 -0.146 0.006 0.008 24.184 24.330 
