A = 7D_CPEB4, rgA = 64.546 ; B = CPEB4_alpha, rgB = 64.620 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 0.112 0.478 0.475 71.638 71.527 
0.500 70.000 0.104 0.485 0.479 71.295 71.191 
0.500 60.000 0.111 0.465 0.455 70.720 70.609 
0.500 50.000 0.157 0.386 0.369 69.667 69.510 
0.500 40.000 0.341 0.209 0.188 67.512 67.171 
0.525 80.000 0.062 0.638 0.635 70.159 70.097 
0.525 70.000 0.057 0.643 0.638 69.778 69.721 
0.525 60.000 0.064 0.610 0.598 69.141 69.077 
0.525 50.000 0.097 0.491 0.471 67.978 67.881 
0.525 40.000 0.215 0.246 0.219 65.620 65.405 
0.550 80.000 0.009 0.803 0.802 68.510 68.501 
0.550 70.000 0.004 0.804 0.799 68.082 68.078 
0.550 60.000 0.005 0.750 0.738 67.367 67.362 
0.550 50.000 0.016 0.581 0.559 66.074 66.058 
0.550 40.000 0.056 0.264 0.235 63.495 63.439 
0.575 80.000 -0.040 0.941 0.940 66.664 66.704 
0.575 70.000 -0.049 0.931 0.928 66.175 66.224 
0.575 60.000 -0.060 0.848 0.838 65.367 65.427 
0.575 50.000 -0.082 0.624 0.603 63.923 64.005 
0.575 40.000 -0.124 0.249 0.226 61.119 61.243 
0.600 80.000 -0.076 1.000 1.000 64.582 64.658 
0.600 70.000 -0.097 0.973 0.972 64.020 64.117 
0.600 60.000 -0.130 0.858 0.850 63.102 63.231 
0.600 50.000 -0.198 0.588 0.574 61.490 61.688 
0.600 40.000 -0.324 0.201 0.188 58.483 58.808 
0.625 80.000 -0.093 0.933 0.932 62.220 62.313 
0.625 70.000 -0.134 0.887 0.885 61.572 61.706 
0.625 60.000 -0.202 0.746 0.742 60.530 60.732 
0.625 50.000 -0.335 0.466 0.460 58.751 59.086 
0.625 40.000 -0.541 0.136 0.131 55.631 56.172 
0.650 80.000 -0.071 0.733 0.726 59.539 59.611 
0.650 70.000 -0.142 0.671 0.667 58.798 58.940 
0.650 60.000 -0.258 0.530 0.527 57.634 57.893 
0.650 50.000 -0.465 0.297 0.297 55.733 56.198 
0.650 40.000 -0.726 0.075 0.076 52.698 53.423 
0.675 80.000 0.035 0.458 0.443 56.529 56.494 
0.675 70.000 -0.063 0.400 0.388 55.709 55.772 
0.675 60.000 -0.225 0.293 0.286 54.465 54.690 
0.675 50.000 -0.484 0.147 0.147 52.568 53.053 
0.675 40.000 -0.737 0.035 0.037 49.919 50.656 
0.700 80.000 0.318 0.217 0.197 53.261 52.943 
0.700 70.000 0.207 0.181 0.163 52.412 52.205 
0.700 60.000 0.019 0.123 0.113 51.188 51.169 
0.700 50.000 -0.243 0.058 0.056 49.501 49.744 
0.700 40.000 -0.398 0.015 0.016 47.538 47.936 
