A = 7D_CPEB4, rgA = 26.080 ; B = CPEB4, rgB = 25.946 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 0.593 0.048 0.060 29.510 28.917 
0.900 70.000 0.607 0.053 0.067 29.313 28.706 
0.900 60.000 0.554 0.053 0.065 29.024 28.470 
0.900 50.000 0.411 0.041 0.048 28.623 28.212 
0.900 40.000 0.297 0.019 0.021 28.196 27.899 
0.925 80.000 0.340 0.177 0.190 28.449 28.109 
0.925 70.000 0.334 0.188 0.201 28.278 27.945 
0.925 60.000 0.308 0.176 0.186 28.055 27.747 
0.925 50.000 0.274 0.126 0.132 27.777 27.503 
0.925 40.000 0.331 0.050 0.055 27.499 27.167 
0.950 80.000 0.212 0.466 0.471 27.521 27.309 
0.950 70.000 0.206 0.476 0.478 27.381 27.175 
0.950 60.000 0.198 0.423 0.422 27.204 27.006 
0.950 50.000 0.202 0.283 0.279 26.990 26.788 
0.950 40.000 0.289 0.102 0.102 26.764 26.475 
0.975 80.000 0.160 0.825 0.825 26.746 26.586 
0.975 70.000 0.155 0.812 0.808 26.629 26.474 
0.975 60.000 0.149 0.690 0.677 26.483 26.334 
0.975 50.000 0.154 0.436 0.416 26.303 26.149 
0.975 40.000 0.204 0.146 0.134 26.091 25.887 
1.000 80.000 0.134 0.999 0.999 26.097 25.963 
1.000 70.000 0.128 0.952 0.948 25.999 25.870 
1.000 60.000 0.121 0.776 0.763 25.876 25.754 
1.000 50.000 0.118 0.465 0.442 25.720 25.602 
1.000 40.000 0.132 0.144 0.131 25.521 25.389 
1.025 80.000 0.118 0.854 0.853 25.547 25.429 
1.025 70.000 0.111 0.792 0.790 25.464 25.353 
1.025 60.000 0.103 0.623 0.615 25.360 25.257 
1.025 50.000 0.096 0.355 0.342 25.227 25.131 
1.025 40.000 0.090 0.101 0.097 25.048 24.958 
1.050 80.000 0.110 0.530 0.527 25.077 24.967 
1.050 70.000 0.102 0.481 0.479 25.006 24.904 
1.050 60.000 0.095 0.369 0.363 24.919 24.824 
1.050 50.000 0.089 0.204 0.196 24.810 24.721 
1.050 40.000 0.078 0.056 0.055 24.662 24.584
1.075 80.000 0.117 0.249 0.240 24.678 24.561 
1.075 70.000 0.110 0.222 0.214 24.620 24.509 
1.075 60.000 0.105 0.169 0.158 24.549 24.444 
1.075 50.000 0.102 0.095 0.082 24.464 24.363 
1.075 40.000 0.088 0.028 0.024 24.352 24.264 
1.100 80.000 0.143 0.095 0.083 24.352 24.208 
1.100 70.000 0.137 0.084 0.071 24.304 24.167 
1.100 60.000 0.134 0.065 0.049 24.251 24.117 
1.100 50.000 0.132 0.039 0.023 24.190 24.057 
1.100 40.000 0.112 0.013 0.007 24.112 24.000 
