A = 7D_CPEB4, rgA = 46.161 ; B = CPEB4, rgB = 46.107 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 0.489 0.039 0.036 65.222 64.733 
0.600 70.000 0.546 0.042 0.039 64.687 64.141 
0.600 60.000 0.637 0.044 0.042 63.850 63.213 
0.600 50.000 0.669 0.042 0.039 62.323 61.654 
0.600 40.000 -0.560 0.025 0.025 58.183 58.743 
0.625 80.000 0.520 0.082 0.079 62.806 62.287 
0.625 70.000 0.464 0.088 0.085 62.170 61.706 
0.625 60.000 0.378 0.092 0.088 61.162 60.784 
0.625 50.000 0.117 0.084 0.079 59.338 59.220 
0.625 40.000 -1.376 0.042 0.047 54.904 56.280
0.650 80.000 0.438 0.167 0.165 60.099 59.661 
0.650 70.000 0.314 0.180 0.176 59.375 59.061 
0.650 60.000 0.123 0.184 0.177 58.232 58.108 
0.650 50.000 -0.267 0.159 0.151 56.229 56.496 
0.650 40.000 -1.523 0.065 0.080 51.939 53.461 
0.675 80.000 0.299 0.323 0.320 57.090 56.791 
0.675 70.000 0.147 0.344 0.336 56.297 56.149 
0.675 60.000 -0.076 0.342 0.330 55.066 55.142 
0.675 50.000 -0.449 0.274 0.266 53.010 53.459 
0.675 40.000 -1.182 0.097 0.121 49.149 50.332 
0.700 80.000 0.166 0.567 0.562 53.770 53.604 
0.700 70.000 0.015 0.590 0.580 52.930 52.915 
0.700 60.000 -0.192 0.562 0.547 51.659 51.851 
0.700 50.000 -0.470 0.413 0.406 49.641 50.111 
0.700 40.000 -0.698 0.134 0.153 46.284 46.982 
0.725 80.000 0.079 0.849 0.846 50.140 50.060 
0.725 70.000 -0.056 0.855 0.848 49.279 49.335 
0.725 60.000 -0.226 0.766 0.755 48.011 48.238 
0.725 50.000 -0.409 0.510 0.504 46.086 46.496 
0.725 40.000 -0.372 0.152 0.153 43.159 43.531 
0.750 80.000 0.051 0.999 0.999 46.244 46.192 
0.750 70.000 -0.064 0.960 0.959 45.396 45.460 
0.750 60.000 -0.199 0.796 0.792 44.179 44.378 
0.750 50.000 -0.333 0.470 0.464 42.392 42.724 
0.750 40.000 -0.293 0.124 0.114 39.823 40.115 
