A = 7D_CPEB4, rgA = 56.894 ; B = CPEB4, rgB = 56.169 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 1.229 0.183 0.184 68.774 67.545 
0.600 70.000 1.253 0.189 0.188 68.494 67.240 
0.600 60.000 1.294 0.188 0.185 68.026 66.732 
0.600 50.000 1.317 0.168 0.160 67.143 65.826 
0.600 40.000 0.993 0.108 0.093 65.119 64.126 
0.625 80.000 1.142 0.282 0.280 67.339 66.197 
0.625 70.000 1.150 0.290 0.286 67.006 65.856 
0.625 60.000 1.164 0.286 0.279 66.453 65.289 
0.625 50.000 1.139 0.252 0.238 65.425 64.286 
0.625 40.000 0.719 0.153 0.133 63.143 62.424 
0.650 80.000 1.054 0.417 0.414 65.717 64.663 
0.650 70.000 1.051 0.427 0.422 65.328 64.278 
0.650 60.000 1.046 0.418 0.408 64.688 63.642 
0.650 50.000 0.991 0.359 0.341 63.514 62.522 
0.650 40.000 0.545 0.203 0.183 61.011 60.467 
0.675 80.000 0.970 0.587 0.584 63.881 62.911 
0.675 70.000 0.960 0.598 0.592 63.433 62.474 
0.675 60.000 0.943 0.576 0.565 62.701 61.758 
0.675 50.000 0.875 0.478 0.459 61.386 60.511 
0.675 40.000 0.457 0.247 0.231 58.712 58.255 
0.700 80.000 0.890 0.775 0.773 61.797 60.906 
0.700 70.000 0.874 0.781 0.777 61.284 60.410 
0.700 60.000 0.849 0.737 0.727 60.458 59.608 
0.700 50.000 0.773 0.585 0.566 59.008 58.235 
0.700 40.000 0.402 0.274 0.261 56.215 55.813
0.725 80.000 0.809 0.936 0.935 59.423 58.614 
0.725 70.000 0.784 0.930 0.927 58.841 58.056 
0.725 60.000 0.747 0.853 0.843 57.917 57.170 
0.725 50.000 0.652 0.638 0.619 56.343 55.691 
0.725 40.000 0.300 0.266 0.254 53.481 53.181 
0.750 80.000 0.716 0.999 0.999 56.718 56.002 
0.750 70.000 0.674 0.971 0.970 56.064 55.389 
0.750 60.000 0.610 0.855 0.848 55.044 54.434 
0.750 50.000 0.467 0.592 0.577 53.360 52.893 
0.750 40.000 0.050 0.215 0.207 50.453 50.402 
