A = 12D_CPEB4_D4, rgA = 40.162 ; B = CPEB4_D4, rgB = 38.939 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 0.574 0.520 0.492 47.639 47.065 
0.750 70.000 0.813 0.562 0.538 46.614 45.802 
0.750 60.000 1.103 0.548 0.528 45.173 44.069 
0.750 50.000 1.391 0.406 0.387 43.147 41.755 
0.750 40.000 1.495 0.150 0.138 40.390 38.895 
0.775 80.000 1.073 0.827 0.817 44.016 42.943 
0.775 70.000 1.195 0.845 0.837 43.027 41.832 
0.775 60.000 1.331 0.752 0.740 41.687 40.357 
0.775 50.000 1.439 0.486 0.467 39.889 38.449 
0.775 40.000 1.392 0.148 0.138 37.567 36.175 
0.800 80.000 1.226 0.999 0.999 40.335 39.109 
0.800 70.000 1.263 0.953 0.950 39.456 38.193 
0.800 60.000 1.298 0.767 0.755 38.309 37.011 
0.800 50.000 1.307 0.432 0.413 36.835 35.528 
0.800 40.000 1.169 0.108 0.103 34.978 33.808 
0.825 80.000 1.121 0.839 0.835 36.873 35.752 
0.825 70.000 1.110 0.746 0.740 36.162 35.053 
0.825 60.000 1.092 0.548 0.537 35.266 34.174 
0.825 50.000 1.055 0.274 0.262 34.153 33.098 
0.825 40.000 0.831 0.055 0.059 32.719 31.888 
0.850 80.000 0.876 0.466 0.462 33.888 33.011 
0.850 70.000 0.844 0.391 0.390 33.362 32.518 
0.850 60.000 0.804 0.268 0.267 32.718 31.913 
0.850 50.000 0.734 0.123 0.124 31.935 31.201 
0.850 40.000 0.464 0.021 0.028 30.914 30.450 
0.875 80.000 0.607 0.171 0.171 31.489 30.882 
0.875 70.000 0.562 0.138 0.142 31.128 30.566 
0.875 60.000 0.509 0.092 0.096 30.696 30.187 
0.875 50.000 0.413 0.042 0.046 30.192 29.779 
0.875 40.000 0.167 0.008 0.012 29.596 29.429 
0.900 80.000 0.377 0.043 0.045 29.652 29.275 
0.900 70.000 0.312 0.035 0.038 29.420 29.108 
0.900 60.000 0.252 0.024 0.027 29.158 28.906 
0.900 50.000 0.142 0.012 0.014 28.884 28.742 
0.900 40.000 -0.069 0.003 0.005 28.662 28.731 
