A = 12D_CPEB4_D4, rgA = 52.183 ; B = CPEB4_D4, rgB = 50.121 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 1.453 0.765 0.736 57.533 56.080 
0.750 70.000 1.782 0.788 0.772 56.282 54.500 
0.750 60.000 2.200 0.712 0.701 54.381 52.181 
0.750 50.000 2.569 0.448 0.433 51.430 48.860 
0.750 40.000 2.291 0.105 0.106 46.887 44.595 
0.775 80.000 1.756 0.928 0.918 54.985 53.229 
0.775 70.000 2.061 0.923 0.919 53.641 51.580 
0.775 60.000 2.400 0.777 0.767 51.663 49.263 
0.775 50.000 2.610 0.431 0.412 48.735 46.126 
0.775 40.000 2.228 0.084 0.083 44.501 42.273 
0.800 80.000 2.063 1.000 1.000 52.182 50.118 
0.800 70.000 2.317 0.945 0.939 50.782 48.466 
0.800 60.000 2.549 0.729 0.708 48.799 46.250 
0.800 50.000 2.612 0.351 0.329 46.012 43.400 
0.800 40.000 2.197 0.057 0.055 42.205 40.008 
0.825 80.000 2.332 0.913 0.901 49.167 46.835 
0.825 70.000 2.508 0.808 0.784 47.772 45.263 
0.825 60.000 2.624 0.564 0.530 45.877 43.253 
0.825 50.000 2.571 0.235 0.214 43.345 40.774 
0.825 40.000 2.144 0.032 0.031 40.062 37.918 
