A = 12D_CPEB4_D4, rgA = 29.106 ; B = CPEB4_D4, rgB = 28.535 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 0.615 0.080 0.062 36.800 36.185 
0.900 70.000 0.556 0.091 0.070 36.364 35.807 
0.900 60.000 0.516 0.098 0.075 35.750 35.233 
0.900 50.000 0.516 0.092 0.069 34.864 34.348 
0.900 40.000 0.599 0.062 0.043 33.540 32.941 
0.925 80.000 0.850 0.233 0.213 34.440 33.591 
0.925 70.000 0.831 0.253 0.231 34.049 33.218 
0.925 60.000 0.814 0.258 0.232 33.512 32.698 
0.925 50.000 0.788 0.222 0.193 32.755 31.967 
0.925 40.000 0.696 0.127 0.098 31.639 30.943 
0.950 80.000 0.843 0.533 0.523 32.228 31.385 
0.950 70.000 0.824 0.555 0.541 31.912 31.087 
0.950 60.000 0.795 0.528 0.506 31.485 30.690 
0.950 50.000 0.737 0.410 0.378 30.894 30.157 
0.950 40.000 0.591 0.198 0.165 30.038 29.447 
0.975 80.000 0.704 0.870 0.868 30.400 29.696 
0.975 70.000 0.686 0.867 0.861 30.159 29.473 
0.975 60.000 0.655 0.775 0.758 29.839 29.184 
0.975 50.000 0.599 0.550 0.521 29.401 28.803 
0.975 40.000 0.472 0.230 0.206 28.776 28.304
1.000 80.000 0.555 0.998 0.998 28.996 28.441 
1.000 70.000 0.542 0.958 0.955 28.816 28.274 
1.000 60.000 0.520 0.814 0.802 28.578 28.057 
1.000 50.000 0.478 0.537 0.518 28.254 27.775 
1.000 40.000 0.378 0.201 0.190 27.795 27.416 
1.025 80.000 0.438 0.824 0.826 27.931 27.493 
1.025 70.000 0.432 0.767 0.768 27.793 27.361 
1.025 60.000 0.419 0.624 0.620 27.611 27.192 
1.025 50.000 0.390 0.386 0.381 27.363 26.973 
1.025 40.000 0.308 0.131 0.134 27.019 26.710 
1.050 80.000 0.347 0.503 0.510 27.095 26.748 
1.050 70.000 0.345 0.456 0.463 26.986 26.641 
1.050 60.000 0.340 0.356 0.363 26.843 26.503 
1.050 50.000 0.321 0.206 0.215 26.649 26.328 
1.050 40.000 0.254 0.064 0.075 26.389 26.135 
1.075 80.000 0.263 0.234 0.245 26.412 26.149 
1.075 70.000 0.266 0.206 0.219 26.325 26.059 
1.075 60.000 0.267 0.154 0.168 26.212 25.944 
1.075 50.000 0.259 0.083 0.097 26.060 25.802 
1.075 40.000 0.206 0.023 0.035 25.869 25.663 
1.100 80.000 0.179 0.088 0.099 25.851 25.672 
1.100 70.000 0.190 0.076 0.087 25.785 25.595 
1.100 60.000 0.202 0.054 0.066 25.698 25.496 
1.100 50.000 0.204 0.027 0.038 25.583 25.379 
1.100 40.000 0.154 0.007 0.014 25.442 25.287 
