A = 12D_CPEB4_D4, rgA = 37.441 ; B = CPEB4_D4, rgB = 37.147 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -0.685 0.457 0.437 44.488 45.172 
0.750 70.000 -0.514 0.492 0.472 43.722 44.236 
0.750 60.000 -0.249 0.488 0.468 42.667 42.916 
0.750 50.000 0.122 0.390 0.375 41.185 41.063 
0.750 40.000 0.537 0.181 0.175 39.068 38.531
0.775 80.000 -0.083 0.803 0.795 40.992 41.075 
0.775 70.000 0.022 0.821 0.810 40.278 40.256 
0.775 60.000 0.173 0.750 0.734 39.314 39.140 
0.775 50.000 0.365 0.530 0.511 37.989 37.623 
0.775 40.000 0.547 0.203 0.194 36.155 35.608 
0.800 80.000 0.288 0.999 0.999 37.521 37.233 
0.800 70.000 0.332 0.960 0.957 36.909 36.577 
0.800 60.000 0.393 0.803 0.791 36.098 35.705 
0.800 50.000 0.461 0.500 0.483 35.009 34.547 
0.800 40.000 0.494 0.161 0.153 33.541 33.047
0.825 80.000 0.451 0.808 0.802 34.422 33.971 
0.825 70.000 0.459 0.733 0.724 33.944 33.484 
0.825 60.000 0.472 0.566 0.552 33.319 32.847 
0.825 50.000 0.478 0.317 0.301 32.492 32.013 
0.825 40.000 0.450 0.090 0.084 31.405 30.956 
0.850 80.000 0.416 0.405 0.410 31.883 31.466 
0.850 70.000 0.419 0.354 0.354 31.544 31.125 
0.850 60.000 0.421 0.261 0.254 31.105 30.683 
0.850 50.000 0.418 0.137 0.127 30.527 30.109 
0.850 40.000 0.405 0.038 0.033 29.799 29.394 
0.875 80.000 -0.079 0.080 0.146 29.626 29.705 
0.875 70.000 0.006 0.080 0.125 29.489 29.483 
0.875 60.000 0.096 0.068 0.088 29.295 29.198 
0.875 50.000 0.174 0.041 0.043 29.003 28.829 
0.875 40.000 0.249 0.013 0.012 28.618 28.369 
0.900 80.000 -1.322 0.001 0.041 27.231 28.553 
0.900 70.000 -1.075 0.002 0.037 27.354 28.429 
0.900 60.000 -0.747 0.005 0.027 27.523 28.269 
0.900 50.000 -0.385 0.007 0.015 27.671 28.056 
0.900 40.000 -0.080 0.004 0.005 27.691 27.770 
