A = 12D_CPEB4_D4, rgA = 67.270 ; B = CPEB4_D4, rgB = 66.803 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 0.464 0.626 0.619 72.467 72.003
0.500 70.000 0.412 0.631 0.619 72.206 71.794
0.500 60.000 0.362 0.613 0.598 71.773 71.410
0.500 50.000 0.337 0.545 0.532 70.985 70.647
0.500 40.000 0.423 0.375 0.360 69.351 68.928
0.525 80.000 0.483 0.758 0.753 71.330 70.846
0.525 70.000 0.434 0.761 0.751 71.042 70.609
0.525 60.000 0.388 0.734 0.723 70.567 70.179
0.525 50.000 0.370 0.641 0.630 69.708 69.338
0.525 40.000 0.478 0.420 0.404 67.945 67.467
0.550 80.000 0.491 0.879 0.876 70.071 69.580
0.550 70.000 0.443 0.878 0.872 69.752 69.308
0.550 60.000 0.402 0.838 0.832 69.229 68.826
0.550 50.000 0.394 0.716 0.709 68.290 67.896
0.550 40.000 0.534 0.440 0.425 66.396 65.862 
0.575 80.000 0.483 0.968 0.967 68.697 68.214 
0.575 70.000 0.440 0.960 0.958 68.343 67.903 
0.575 60.000 0.406 0.904 0.903 67.767 67.361 
0.575 50.000 0.413 0.749 0.747 66.744 66.331 
0.575 40.000 0.599 0.425 0.413 64.728 64.128 
0.600 80.000 0.464 0.999 1.000 67.194 66.730 
0.600 70.000 0.427 0.982 0.983 66.802 66.375 
0.600 60.000 0.403 0.909 0.911 66.168 65.765 
0.600 50.000 0.433 0.723 0.725 65.060 64.627 
0.600 40.000 0.676 0.370 0.363 62.939 62.264 
0.625 80.000 0.439 0.954 0.953 65.545 65.106 
0.625 70.000 0.410 0.926 0.927 65.111 64.701 
0.625 60.000 0.401 0.836 0.839 64.417 64.016 
0.625 50.000 0.462 0.632 0.634 63.227 62.765 
0.625 40.000 0.762 0.283 0.283 61.028 60.266 
0.650 80.000 0.417 0.824 0.821 63.732 63.315 
0.650 70.000 0.397 0.786 0.786 63.252 62.855 
0.650 60.000 0.407 0.687 0.689 62.496 62.089 
0.650 50.000 0.506 0.487 0.488 61.229 60.723 
0.650 40.000 0.850 0.185 0.190 58.998 58.147 
0.675 80.000 0.402 0.627 0.623 61.737 61.335 
0.675 70.000 0.392 0.584 0.583 61.207 60.815 
0.675 60.000 0.421 0.489 0.490 60.386 59.965 
0.675 50.000 0.551 0.320 0.319 59.052 58.501 
0.675 40.000 0.905 0.101 0.108 56.866 55.961 
0.700 80.000 0.390 0.406 0.404 59.551 59.161 
0.700 70.000 0.382 0.365 0.367 58.964 58.583 
0.700 60.000 0.414 0.290 0.292 58.076 57.661 
0.700 50.000 0.541 0.172 0.174 56.690 56.150 
0.700 40.000 0.848 0.047 0.053 54.668 53.820
