A = 12D_CPEB4_D4, rgA = 49.597 ; B = CPEB4_D4, rgB = 49.457 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -0.120 0.704 0.696 55.498 55.618 
0.750 70.000 -0.067 0.724 0.713 54.812 54.879 
0.750 60.000 0.023 0.701 0.686 53.760 53.737 
0.750 50.000 0.195 0.573 0.555 52.083 51.887 
0.750 40.000 0.577 0.283 0.275 49.371 48.795 
0.775 80.000 0.005 0.913 0.910 52.587 52.582 
0.775 70.000 0.049 0.916 0.911 51.845 51.796 
0.775 60.000 0.133 0.848 0.838 50.736 50.603 
0.775 50.000 0.298 0.638 0.623 49.019 48.722 
0.775 40.000 0.647 0.272 0.265 46.323 45.676 
0.800 80.000 0.136 0.999 0.999 49.363 49.227 
0.800 70.000 0.178 0.967 0.966 48.588 48.410 
0.800 60.000 0.267 0.842 0.836 47.461 47.194 
0.800 50.000 0.448 0.571 0.560 45.770 45.322 
0.800 40.000 0.842 0.207 0.198 43.211 42.369 
0.825 80.000 0.269 0.857 0.853 45.874 45.605 
0.825 70.000 0.332 0.791 0.786 45.108 44.776 
0.825 60.000 0.461 0.640 0.629 44.025 43.564 
0.825 50.000 0.721 0.387 0.368 42.454 41.733 
0.825 40.000 1.262 0.121 0.103 40.176 38.914
0.850 80.000 0.408 0.530 0.518 42.260 41.852 
0.850 70.000 0.536 0.465 0.447 41.564 41.027 
0.850 60.000 0.765 0.350 0.320 40.605 39.840 
0.850 50.000 1.168 0.192 0.156 39.254 38.086 
0.850 40.000 1.836 0.054 0.034 37.357 35.521 
0.875 80.000 0.541 0.219 0.208 38.760 38.220 
0.875 70.000 0.776 0.186 0.164 38.196 37.420 
0.875 60.000 1.126 0.134 0.103 37.433 36.307 
0.875 50.000 1.616 0.070 0.042 36.362 34.746 
0.875 40.000 2.166 0.020 0.008 34.855 32.689 
0.900 80.000 0.587 0.058 0.058 35.666 35.079 
0.900 70.000 0.908 0.050 0.042 35.271 34.363 
0.900 60.000 1.300 0.037 0.024 34.729 33.429 
0.900 50.000 1.710 0.020 0.009 33.936 32.226 
0.900 40.000 1.956 0.006 0.002 32.762 30.805 
