A = 12D_CPEB4_D4, rgA = 45.024 ; B = CPEB4_D4, rgB = 44.898 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -1.252 0.038 0.033 62.428 63.680 
0.600 70.000 -1.185 0.042 0.037 61.864 63.048 
0.600 60.000 -0.992 0.045 0.040 60.998 61.990 
0.600 50.000 -0.594 0.045 0.039 59.567 60.160 
0.600 40.000 -0.225 0.034 0.028 56.810 57.036
0.625 80.000 -0.692 0.079 0.075 60.482 61.174 
0.625 70.000 -0.679 0.087 0.082 59.837 60.516 
0.625 60.000 -0.613 0.093 0.087 58.843 59.456 
0.625 50.000 -0.474 0.092 0.082 57.199 57.674 
0.625 40.000 -0.417 0.062 0.056 54.195 54.612 
0.650 80.000 -0.376 0.161 0.157 58.171 58.547 
0.650 70.000 -0.401 0.176 0.171 57.445 57.846 
0.650 60.000 -0.409 0.187 0.179 56.331 56.740 
0.650 50.000 -0.381 0.176 0.163 54.528 54.909 
0.650 40.000 -0.324 0.104 0.102 51.447 51.771 
0.675 80.000 -0.230 0.313 0.309 55.472 55.703 
0.675 70.000 -0.265 0.340 0.332 54.671 54.937 
0.675 60.000 -0.284 0.350 0.337 53.464 53.748 
0.675 50.000 -0.244 0.306 0.292 51.575 51.818 
0.675 40.000 -0.054 0.159 0.159 48.562 48.616 
0.700 80.000 -0.158 0.557 0.551 52.372 52.530 
0.700 70.000 -0.175 0.589 0.579 51.514 51.690 
0.700 60.000 -0.159 0.578 0.563 50.255 50.414 
0.700 50.000 -0.047 0.461 0.447 48.365 48.412 
0.700 40.000 0.262 0.206 0.205 45.534 45.273 
0.725 80.000 -0.061 0.844 0.840 48.889 48.950 
0.725 70.000 -0.046 0.859 0.852 48.006 48.052 
0.725 60.000 0.020 0.788 0.777 46.752 46.732 
0.725 50.000 0.196 0.560 0.549 44.952 44.755 
0.725 40.000 0.570 0.213 0.206 42.404 41.834 
0.750 80.000 0.119 0.999 0.999 45.107 44.988 
0.750 70.000 0.163 0.963 0.961 44.248 44.084 
0.750 60.000 0.262 0.811 0.804 43.070 42.808 
0.750 50.000 0.463 0.508 0.495 41.453 40.990 
0.750 40.000 0.849 0.166 0.150 39.290 38.440 
